Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, December 6, 2018
5:24:06 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.141017,75.571406,160.641244,162.996168,61.776028,56.799968,59.197797,12.793212,157.910124,1.259190,75.847381,55.758729,161.573009,159.961221,158.771225,158.703037,70.835105,158.231238,0.001988,-1.746282,32.000000,-237.214216,158.727372,0.379761,15.162877,0.687610,277583.507263,0.923114,30.202059,37.940105,2.913687,69.653797,57.542287,96.806614,28.000000,55.043726,64.000000,40.831112,17.458055,11.081490
55.146033,75.573395,160.643884,162.992586,61.722106,56.803968,59.164465,12.792728,157.914013,1.262935,75.848790,55.762865,161.568934,159.964846,158.767153,158.705481,70.835002,158.233643,0.001991,-1.745715,32.000000,-237.214776,158.730045,0.380051,15.163249,0.687457,277584.402378,0.922776,30.199045,37.943001,2.913665,69.654215,57.543479,96.806723,28.000000,55.034682,64.000000,40.817918,17.458055,11.082311
55.154178,75.576059,160.639414,162.987233,61.691225,56.812041,59.237220,12.793272,157.924006,1.186756,75.850773,55.770400,161.562334,159.971398,158.760720,158.712524,70.835009,158.237867,0.001985,-1.745713,32.000000,-237.214247,158.767946,0.352332,15.161807,0.687305,277624.135478,0.922381,30.195280,37.945814,2.913280,69.655547,57.545163,96.806509,28.000000,55.032598,64.000000,40.796379,17.458055,11.083524
55.159878,75.578563,160.671049,162.981841,61.651377,56.824231,59.200652,12.792422,157.927054,1.008099,75.852713,55.777448,161.555068,159.976691,158.753381,158.719606,70.834135,158.241877,0.001984,-1.745126,32.000000,-237.215080,158.810692,0.298696,15.161943,0.687283,277643.783406,0.922879,30.192467,37.946956,2.913063,69.657342,57.546531,96.805491,28.000000,55.037770,64.000000,40.776976,17.458055,11.084706
55.165575,75.580940,160.699403,162.976791,61.477903,56.832433,59.174624,12.792027,157.934211,1.004167,75.854866,55.786495,161.547617,159.985044,158.746076,158.723849,70.832871,158.248693,0.001985,-1.745126,32.000000,-237.215392,158.816266,0.298725,15.166045,0.687319,277682.978444,0.921733,30.187331,37.948772,2.912552,69.659674,57.547144,96.803022,28.000000,55.056027,64.000000,40.755887,17.458055,11.085871
55.171260,75.582527,160.711379,162.973251,61.477746,56.840637,59.191142,12.792979,157.939509,1.004313,75.856532,55.794741,161.542964,159.992168,158.742063,158.728900,70.832461,158.253050,0.001989,-1.745110,32.000000,-237.214430,158.822905,0.298631,15.163552,0.687519,277743.676878,0.922402,30.184380,37.951377,2.912825,69.661234,57.547503,96.801331,28.000000,55.055537,64.000000,40.741803,17.458055,11.086645
55.179976,75.584982,160.697982,162.967879,61.511409,56.852794,59.193381,12.793115,157.946568,1.004325,75.858314,55.803354,161.536673,159.999202,158.735572,158.735656,70.831543,158.257560,0.001968,-1.745094,32.000000,-237.214330,158.828852,0.298718,15.165070,0.687479,277785.608069,0.922841,30.181303,37.955584,2.913038,69.662448,57.546991,96.798249,28.000000,55.051817,64.000000,40.717573,17.458055,11.087818
55.185614,75.587602,160.705576,162.962423,61.577892,56.865000,59.163242,12.792718,157.949850,1.004453,75.860477,55.810095,161.530293,160.005262,158.729767,158.741631,70.830357,158.262945,0.001967,-1.745094,32.000000,-237.214689,158.817233,0.298521,15.163748,0.687664,277825.731500,0.922617,30.177448,37.957874,2.912955,69.663370,57.545610,96.795198,28.000000,55.048369,64.000000,40.695056,17.458055,11.089017
55.194107,75.590139,160.709603,162.956899,61.585170,56.877201,59.168715,12.791999,157.950663,1.250947,75.862317,55.816960,161.524098,160.007602,158.723620,158.745869,70.828821,158.264112,0.001969,-1.745092,32.000000,-237.215411,158.814691,0.378726,15.164518,0.687575,277885.396955,0.922625,30.171560,37.960739,2.912252,69.664751,57.542868,96.792502,28.000000,55.040072,64.000000,40.671465,17.458055,11.090218
55.199372,75.591726,160.722211,162.952999,61.576565,56.877212,59.218099,12.791948,157.954034,1.262631,75.863506,55.821623,161.520493,160.009896,158.719581,158.747728,70.827896,158.266075,0.001989,-1.745087,32.000000,-237.215467,158.816591,0.379142,15.163251,0.687742,277947.100134,0.923196,30.168784,37.964249,2.912092,69.665807,57.540673,96.791225,28.000000,55.054502,64.000000,40.654498,17.458055,11.091009
