Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, September 27, 2018
2:36:42 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.000688,20.371253,-12.077361,20.368657,-0.266572,-2.538934,0.000000,0.693758,0.422347,-0.977302,20.247721,0.157567,20.056889,-15.282640,20.041957,152.124577,19.889280,0.395049,-1.189206,0.049086,0.000000,-250.011625,0.165822,-0.780056,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001481,20.365734,-12.065364,20.362288,-0.255809,-2.534460,0.000000,0.693780,0.437353,-0.953701,20.246000,0.152436,20.056158,-15.320714,20.042693,152.105426,19.889645,0.399845,-1.213078,0.049672,0.000000,-250.010815,0.142326,-0.755626,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002063,20.360957,-12.070672,20.356929,-0.295096,-2.533394,0.000000,0.693772,0.413602,-0.911450,20.245546,0.161057,20.056724,-15.309351,20.041660,152.111069,19.890439,0.390274,-1.222354,0.050293,0.000000,-250.009940,0.107239,-0.778577,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002753,20.357219,-12.059766,20.351491,-0.376285,-2.538918,0.000000,0.693777,0.380992,-0.908659,20.246339,0.188943,20.057057,-15.341611,20.043008,152.094402,19.891336,0.409898,-1.255709,0.045989,0.000000,-250.010766,0.097082,-0.752117,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003861,20.353861,-12.068524,20.346016,-0.387622,-2.534738,0.000000,0.693771,0.374029,-0.873777,20.242893,0.207749,20.055977,-15.321755,20.041031,152.097192,19.890065,0.404664,-1.270514,0.045571,0.000000,-250.011495,0.115764,-0.738309,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003382,20.349762,-12.071239,20.340018,-0.418417,-2.533919,0.000000,0.693742,0.339069,-0.858394,20.241978,0.229377,20.055396,-15.303954,20.039411,152.090187,19.887971,0.399322,-1.267750,0.046490,0.000000,-250.011594,0.155767,-0.746306,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002859,20.345487,-12.074091,20.334633,-0.378328,-2.534623,0.000000,0.693745,0.338092,-0.906837,20.240561,0.242344,20.055379,-15.301990,20.039654,152.076244,19.889946,0.419209,-1.262785,0.046399,0.000000,-250.012092,0.192695,-0.723895,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002502,20.342206,-12.071596,20.331325,-0.338789,-2.531771,0.000000,0.693757,0.333032,-0.949120,20.241503,0.210296,20.056045,-15.326207,20.038949,152.093517,19.889700,0.423332,-1.230113,0.045183,0.000000,-250.011321,0.185262,-0.732999,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001983,20.340693,-12.066388,20.329780,-0.405314,-2.522674,0.000000,0.693752,0.330483,-0.899740,20.242761,0.205710,20.057424,-15.329182,20.042464,152.101213,19.893450,0.433863,-1.221729,0.045752,0.000000,-250.011794,0.158408,-0.762686,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002464,20.340694,-12.066997,20.329229,-0.372407,-2.527002,0.000000,0.693768,0.360911,-0.869914,20.242467,0.175710,20.057281,-15.348059,20.042636,152.123068,19.890470,0.454651,-1.203238,0.049568,0.000000,-250.012079,0.140994,-0.757634,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002673,20.340483,-12.072238,20.328525,-0.432829,-2.523904,0.000000,0.693766,0.364112,-0.886448,20.241002,0.187707,20.055480,-15.352374,20.043027,152.143806,19.889504,0.469463,-1.197530,0.048842,0.000000,-250.011846,0.137291,-0.782004,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003108,20.340330,-12.075592,20.328519,-0.428400,-2.530116,0.000000,0.693772,0.366961,-0.895617,20.239285,0.217116,20.054619,-15.339811,20.042761,152.143324,19.888974,0.458017,-1.217211,0.049432,0.000000,-250.011613,0.130336,-0.774325,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003126,20.340366,-12.083415,20.329420,-0.349895,-2.541246,0.000000,0.693774,0.364099,-0.898147,20.241472,0.195798,20.054717,-15.324105,20.043400,152.154159,19.890871,0.430951,-1.208411,0.053649,0.000000,-250.011249,0.133778,-0.784391,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001901,20.340437,-12.077810,20.330702,-0.392693,-2.554916,0.000000,0.693765,0.332447,-0.915263,20.242418,0.252600,20.053955,-15.324750,20.041070,152.146369,19.891776,0.422494,-1.211146,0.049446,0.000000,-250.011654,0.135057,-0.784291,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001435,20.339622,-12.078436,20.330346,-0.398820,-2.556489,0.000000,0.693757,0.360570,-0.967390,20.244849,0.226360,20.055684,-15.297025,20.040508,152.124612,19.892396,0.390266,-1.232640,0.050390,0.000000,-250.011338,0.136417,-0.754507,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001060,20.337200,-12.074347,20.327657,-0.404305,-2.551965,0.000000,0.693757,0.357849,-0.923935,20.247579,0.240294,20.055861,-15.300269,20.040413,152.102595,19.891400,0.394811,-1.253718,0.050724,0.000000,-250.011635,0.135906,-0.753596,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000856,20.333682,-12.065210,20.323043,-0.439874,-2.551179,0.000000,0.693758,0.358285,-0.864275,20.245136,0.229625,20.055540,-15.315277,20.039900,152.090937,19.887403,0.391915,-1.267482,0.046787,0.000000,-250.012154,0.139417,-0.743877,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000564,20.328840,-12.072200,20.317143,-0.400197,-2.545688,0.000000,0.693755,0.370409,-0.872883,20.248952,0.172590,20.057125,-15.303550,20.043649,152.102847,19.890001,0.382103,-1.265490,0.045967,0.000000,-250.011464,0.154674,-0.762429,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000232,20.322674,-12.072456,20.310281,-0.375735,-2.545196,0.000000,0.693769,0.348997,-0.889128,20.246875,0.156870,20.056583,-15.291465,20.042545,152.106596,19.889788,0.386563,-1.238080,0.046734,0.000000,-250.011939,0.164641,-0.762958,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001642,20.317186,-12.082032,20.304504,-0.432898,-2.535361,0.000000,0.693763,0.346293,-0.898976,20.245168,0.157862,20.056472,-15.264661,20.042228,152.112589,19.891154,0.374914,-1.231302,0.047527,0.000000,-250.011713,0.154844,-0.768818,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001747,20.313821,-12.082086,20.301751,-0.435674,-2.526313,0.000000,0.693761,0.362337,-0.932361,20.244418,0.173345,20.058113,-15.253464,20.041111,152.089631,19.891914,0.363546,-1.237545,0.046330,0.000000,-250.011735,0.143333,-0.746985,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001864,20.313102,-12.078962,20.301052,-0.435904,-2.530542,0.000000,0.693750,0.356385,-0.947322,20.242129,0.166938,20.056605,-15.250482,20.038626,152.087677,19.890862,0.370839,-1.233324,0.047148,0.000000,-250.011713,0.155992,-0.755711,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002113,20.314211,-12.072930,20.301848,-0.446253,-2.539229,0.000000,0.693745,0.368628,-0.940994,20.242232,0.175222,20.053024,-15.274978,20.037698,152.065465,19.890709,0.378198,-1.238764,0.050110,0.000000,-250.011023,0.164550,-0.771898,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001739,20.314355,-12.079075,20.301582,-0.389893,-2.545048,0.000000,0.693743,0.361532,-0.893541,20.240899,0.176025,20.053543,-15.253817,20.037470,152.074430,19.890101,0.393572,-1.244472,0.049086,0.000000,-250.010389,0.183285,-0.747321,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001880,20.313885,-12.067275,20.300483,-0.406140,-2.543770,0.000000,0.693741,0.353094,-0.876503,20.241856,0.160839,20.052426,-15.287338,20.039935,152.085653,19.890866,0.395031,-1.252855,0.049090,0.000000,-250.010617,0.186209,-0.773610,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002471,20.312824,-12.074494,20.299528,-0.428675,-2.537639,0.000000,0.693734,0.345773,-0.929316,20.243597,0.164886,20.055688,-15.262380,20.040792,152.119350,19.891976,0.371634,-1.249556,0.052255,0.000000,-250.010843,0.156215,-0.768736,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002003,20.312502,-12.076030,20.299575,-0.477233,-2.529968,0.000000,0.693731,0.359470,-0.931811,20.245659,0.155731,20.058713,-15.244607,20.040969,152.117306,19.892818,0.333211,-1.264717,0.047578,0.000000,-250.011325,0.138528,-0.744956,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002999,20.312722,-12.068159,20.300292,-0.470624,-2.525362,0.000000,0.693717,0.330393,-0.900862,20.245129,0.157041,20.057100,-15.272455,20.039704,152.126372,19.890791,0.340630,-1.243134,0.049888,0.000000,-250.011969,0.154025,-0.744034,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001756,20.313216,-12.059282,20.301092,-0.428170,-2.531427,0.000000,0.693728,0.337042,-0.899837,20.245758,0.153736,20.057447,-15.292451,20.036622,152.135215,19.890547,0.355783,-1.226367,0.050386,0.000000,-250.011621,0.148129,-0.744173,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002380,20.314044,-12.059965,20.301020,-0.422571,-2.521773,0.000000,0.693736,0.330677,-0.899437,20.243821,0.139471,20.056966,-15.290048,20.035512,152.120094,19.890307,0.383140,-1.249347,0.046852,0.000000,-250.011872,0.190107,-0.737791,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002622,20.314495,-12.058108,20.299637,-0.385464,-2.534591,0.000000,0.693753,0.355946,-0.887030,20.243550,0.115840,20.056424,-15.312375,20.035494,152.096889,19.888977,0.402392,-1.246850,0.046352,0.000000,-250.011335,0.181339,-0.775772,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001969,20.314986,-12.063781,20.297898,-0.422158,-2.529755,0.000000,0.693745,0.345326,-0.882799,20.243858,0.106795,20.056418,-15.309352,20.034961,152.060259,19.889168,0.423089,-1.284279,0.047014,0.000000,-250.011662,0.160871,-0.777516,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002514,20.314838,-12.068054,20.296241,-0.418968,-2.531263,0.000000,0.693732,0.347486,-0.936520,20.242943,0.120865,20.055683,-15.307338,20.034686,152.069417,19.886896,0.392451,-1.264925,0.047642,0.000000,-250.011792,0.145141,-0.772149,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001997,20.314603,-12.068016,20.294812,-0.436638,-2.541164,0.000000,0.693744,0.367628,-0.937249,20.245613,0.092053,20.058523,-15.341173,20.038981,152.087746,19.886834,0.416157,-1.245483,0.046428,0.000000,-250.011400,0.118444,-0.763319,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002129,20.314354,-12.063024,20.293438,-0.510759,-2.538230,0.000000,0.693742,0.352818,-0.882842,20.246099,0.107765,20.059037,-15.342410,20.037479,152.111826,19.887242,0.409355,-1.234632,0.046989,0.000000,-250.011479,0.118639,-0.747850,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002274,20.313153,-12.065279,20.291378,-0.473377,-2.542426,0.000000,0.693734,0.360696,-0.859108,20.245282,0.115507,20.059347,-15.350555,20.038761,152.105406,19.888261,0.431262,-1.222265,0.049007,0.000000,-250.011521,0.117243,-0.743012,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001709,20.311234,-12.063317,20.288792,-0.485173,-2.540541,0.000000,0.693742,0.338396,-0.876964,20.242912,0.133311,20.059802,-15.334533,20.038809,152.093476,19.886560,0.408258,-1.229370,0.048606,0.000000,-250.011689,0.120052,-0.753489,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001489,20.308643,-12.064136,20.285753,-0.406209,-2.543163,0.000000,0.693736,0.330751,-0.864132,20.238833,0.167667,20.057996,-15.313874,20.035889,152.093991,19.886072,0.390490,-1.221075,0.049077,0.000000,-250.011926,0.148076,-0.774457,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001525,20.305272,-12.056453,20.282446,-0.319857,-2.555670,0.000000,0.693746,0.322688,-0.868188,20.240701,0.156718,20.060266,-15.327311,20.039010,152.097528,19.889719,0.359452,-1.232224,0.051739,0.000000,-250.011897,0.135365,-0.758699,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001420,20.302525,-12.059543,20.279450,-0.308819,-2.552097,0.000000,0.693736,0.317905,-0.901323,20.241075,0.124743,20.057982,-15.313941,20.037798,152.092519,19.889584,0.358278,-1.247712,0.047925,0.000000,-250.011471,0.112538,-0.746013,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001428,20.299226,-12.059534,20.276114,-0.335691,-2.556178,0.000000,0.693746,0.332206,-0.930853,20.240541,0.105631,20.055271,-15.325703,20.035961,152.096776,19.888412,0.374307,-1.254372,0.050427,0.000000,-250.011244,0.114686,-0.721104,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000675,20.294974,-12.057497,20.271771,-0.345535,-2.543819,0.000000,0.693755,0.345345,-0.879626,20.240546,0.124932,20.053269,-15.306976,20.035675,152.082738,19.885648,0.378938,-1.256274,0.053909,0.000000,-250.011102,0.110449,-0.716284,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000504,20.289775,-12.066410,20.266074,-0.399990,-2.540377,0.000000,0.693749,0.330606,-0.826931,20.240252,0.152200,20.052166,-15.300682,20.036073,152.102082,19.885643,0.405218,-1.247177,0.049557,0.000000,-250.011546,0.105092,-0.718156,0.634468,289.182014,0.902622,10.054310,10.014069
-2.999392,20.282812,-12.054216,20.258703,-0.360405,-2.547261,0.000000,0.693733,0.340769,-0.867470,20.241943,0.169947,20.054619,-15.330991,20.036906,152.099795,19.886628,0.405300,-1.233502,0.050049,0.000000,-250.012298,0.117980,-0.727743,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000750,20.276418,-12.065544,20.251662,-0.355357,-2.546507,0.000000,0.693727,0.326882,-0.869707,20.241566,0.191597,20.055794,-15.314468,20.035324,152.104631,19.889433,0.405874,-1.231718,0.050411,0.000000,-250.012510,0.110845,-0.699100,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000397,20.270037,-12.067320,20.245367,-0.397764,-2.561112,0.000000,0.693731,0.332513,-0.886426,20.239881,0.197704,20.054701,-15.320208,20.034649,152.118857,19.890317,0.402133,-1.222859,0.047422,0.000000,-250.012944,0.111771,-0.701697,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000869,20.264942,-12.073512,20.240755,-0.442834,-2.561620,0.000000,0.693730,0.378854,-0.940451,20.239011,0.188033,20.054271,-15.310576,20.031288,152.110253,19.888956,0.365769,-1.225624,0.046904,0.000000,-250.011900,0.136476,-0.696091,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002583,20.261635,-12.086448,20.238126,-0.479550,-2.557260,0.000000,0.693743,0.374279,-0.964917,20.239080,0.194936,20.052505,-15.302630,20.030730,152.084463,19.887946,0.381151,-1.218846,0.047441,0.000000,-250.011690,0.136458,-0.719596,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001819,20.261182,-12.075291,20.238184,-0.526020,-2.556948,0.000000,0.693740,0.383401,-0.923371,20.242785,0.193457,20.053711,-15.319461,20.032711,152.080878,19.889238,0.380803,-1.222086,0.048370,0.000000,-250.011007,0.139537,-0.723559,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001871,20.264259,-12.073490,20.240997,-0.538572,-2.547933,0.000000,0.693726,0.382059,-0.870404,20.245923,0.186698,20.057525,-15.311447,20.037149,152.074579,19.891333,0.380290,-1.217627,0.047835,0.000000,-250.011367,0.149707,-0.737756,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002034,20.269029,-12.067548,20.245612,-0.517598,-2.535279,0.000000,0.693720,0.344301,-0.866341,20.247206,0.175158,20.056767,-15.302840,20.039406,152.089061,19.891721,0.365246,-1.233324,0.047820,0.000000,-250.011236,0.156503,-0.769490,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000939,20.273609,-12.066014,20.249275,-0.423535,-2.531853,0.000000,0.693723,0.343665,-0.895063,20.245621,0.174856,20.059600,-15.296832,20.038466,152.095922,19.893663,0.356449,-1.255442,0.049013,0.000000,-250.012007,0.166471,-0.762451,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001182,20.275809,-12.071336,20.250786,-0.370296,-2.532509,0.000000,0.693717,0.310224,-0.884246,20.244805,0.178099,20.059464,-15.297902,20.037205,152.095411,19.890511,0.389997,-1.240191,0.046441,0.000000,-250.012692,0.134045,-0.753943,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001628,20.276349,-12.078186,20.250841,-0.321257,-2.535148,0.000000,0.693728,0.302477,-0.900208,20.244432,0.194644,20.058734,-15.292001,20.036449,152.089128,19.892564,0.419572,-1.225416,0.049723,0.000000,-250.012589,0.112817,-0.725792,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000482,20.276437,-12.072623,20.250164,-0.330573,-2.552080,0.000000,0.693735,0.309355,-0.924292,20.244057,0.237288,20.059271,-15.310248,20.037455,152.068858,19.892764,0.437961,-1.200711,0.052325,0.000000,-250.012849,0.085119,-0.702537,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002317,20.277008,-12.086718,20.249965,-0.357789,-2.542278,0.000000,0.693744,0.312982,-0.915363,20.242875,0.214317,20.058207,-15.294805,20.036118,152.074194,19.891022,0.449984,-1.165393,0.049297,0.000000,-250.012448,0.103610,-0.730705,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002116,20.277394,-12.086530,20.250149,-0.339707,-2.547884,0.000000,0.693742,0.311270,-0.896732,20.241307,0.169479,20.057594,-15.300984,20.034146,152.061790,19.891087,0.404831,-1.170031,0.051067,0.000000,-250.012095,0.108296,-0.731109,0.634468,289.182014,0.902622,10.054310,10.014069
