Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 4, 2018
3:35:11 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz
55.030556,72.240137,161.928708,161.142509,59.996972,56.938365,59.193368,12.975468,159.054571,1.343220,72.250823,55.713314,159.756969,161.242279,157.115068,159.982778,71.535692,159.527664,0.001965,-1.730416,32.000000,-237.031941,160.083498,0.299610,15.162370,0.690017,275107.752070,0.918912,27.003310,37.809380,2.943211,69.532565,96.248701,56.958532,6.000000,39.985191
55.037641,72.221787,161.898411,161.129278,60.026544,56.938423,59.196460,12.974382,159.047507,1.343175,72.218804,55.721073,159.748440,161.234628,157.107314,159.976182,71.533886,159.517737,0.001952,-1.729235,32.000000,-237.033001,160.077152,0.299401,15.167894,0.689607,275099.997365,0.918382,26.985585,37.805498,2.942904,69.534723,96.251519,56.958237,6.000000,39.980649
55.050673,72.199551,161.911610,161.114377,60.131503,56.950619,59.225775,12.975149,159.044079,1.342965,72.181277,55.734515,159.738778,161.231951,157.101193,159.974772,71.532656,159.514350,0.001954,-1.728079,32.000000,-237.032212,160.074155,0.299489,15.163788,0.689364,275091.066919,0.918834,26.969866,37.803204,2.942524,69.537548,96.251901,56.958336,6.000000,39.982857
55.062673,72.173726,161.898997,161.098006,60.179274,56.962670,59.193036,12.975356,159.044065,1.343309,72.137803,55.747560,159.728624,161.231744,157.094345,159.975140,71.531290,159.513563,0.001972,-1.727498,32.000000,-237.031987,160.074861,0.299361,15.167822,0.688861,275077.290353,0.918613,26.944720,37.800749,2.941594,69.540312,96.250623,56.957953,6.000000,39.980843
55.074989,72.154029,161.878833,161.086106,60.218828,56.970743,59.203042,12.976563,159.041131,1.418556,72.105776,55.761645,159.721468,161.234664,157.089372,159.978497,71.530430,159.516633,0.001966,-1.726341,32.000000,-237.030796,160.053172,0.327450,15.169786,0.689026,275117.565203,0.918062,26.909989,37.800526,2.941138,69.542468,96.248894,56.957866,6.000000,39.982042
55.093955,72.121552,161.854195,161.066501,60.234426,56.983000,59.209461,12.977662,159.043476,1.587115,72.053811,55.780746,159.708714,161.238846,157.081792,159.984314,71.528965,159.522509,0.001956,-1.724604,32.000000,-237.029616,160.097658,0.380720,15.176014,0.688727,275154.335319,0.918483,26.872660,37.801554,2.940268,69.544568,96.245470,56.957355,6.000000,39.966204
55.114415,72.086510,161.874974,161.045033,60.142794,56.995169,59.168150,12.977489,159.050052,1.587847,71.999194,55.799585,159.694986,161.246979,157.073108,159.995023,71.526887,159.528208,0.001953,-1.723939,32.000000,-237.029771,160.106437,0.380649,15.179887,0.688451,275176.364750,0.918185,26.841159,37.803732,2.939244,69.546217,96.240853,56.956803,6.000000,39.979177
55.134278,72.048709,161.902421,161.021826,60.123954,57.007486,59.204501,12.978257,159.068586,1.410733,71.941134,55.821407,159.679737,161.261024,157.064365,160.011014,71.524969,159.541274,0.001970,-1.722190,32.000000,-237.029042,160.154476,0.316915,15.191183,0.687905,275207.572694,0.917858,26.790506,37.807718,2.937785,69.546606,96.235112,56.956625,6.000000,40.004342
55.157639,72.008701,161.949216,160.997611,60.101086,57.023747,59.197761,12.979450,159.087965,1.343047,71.879377,55.844693,159.663644,161.281084,157.054982,160.030535,71.522770,159.558247,0.001979,-1.720454,32.000000,-237.027832,160.176317,0.299126,15.192875,0.687622,275236.420256,0.918236,26.735861,37.812240,2.937071,69.546838,96.227773,56.956709,6.000000,40.023253
55.175066,71.980024,161.969762,160.980672,60.054065,57.035891,59.184644,12.979687,159.102962,1.342546,71.836008,55.861445,159.651663,161.294491,157.049399,160.046648,71.521215,159.571233,0.001966,-1.719293,32.000000,-237.027626,160.189951,0.299283,15.198673,0.687022,275264.071664,0.917417,26.679037,37.819765,2.936511,69.546632,96.221797,56.956389,6.000000,40.040384
55.196896,71.934439,161.990589,160.954005,59.905441,57.060262,59.188751,12.978426,159.124126,1.418958,71.768249,55.885644,159.634537,161.316646,157.040738,160.072421,71.520359,159.592505,0.001963,-1.717548,32.000000,-237.028865,160.184421,0.327805,15.208425,0.686943,275308.930205,0.917260,26.616659,37.829245,2.936116,69.547293,96.212432,56.957216,6.000000,40.066498
55.223648,71.886491,162.013137,160.926347,59.834338,57.084588,59.203364,12.978077,159.149461,1.588550,71.698346,55.911165,159.616019,161.343427,157.030931,160.100782,71.520042,159.617601,0.001962,-1.715799,32.000000,-237.029169,160.188749,0.380840,15.210905,0.686619,275342.812167,0.917271,26.571302,37.836374,2.935561,69.548046,96.202486,56.957302,6.000000,40.076969
55.250812,71.836570,162.031825,160.898136,59.824827,57.109017,59.205392,12.977720,159.180443,1.589343,71.625927,55.940367,159.595467,161.372506,157.019220,160.130337,71.520934,159.644951,0.001982,-1.714559,32.000000,-237.029498,160.218617,0.380907,15.216344,0.686178,275421.394878,0.917091,26.504826,37.846354,2.934777,69.547791,96.191191,56.956195,6.000000,40.095551
55.269905,71.802540,162.033349,160.878940,59.824953,57.125194,59.181606,12.976489,159.200269,1.589321,71.575838,55.960420,159.581512,161.391982,157.011449,160.152789,71.523579,159.664832,0.001968,-1.713380,32.000000,-237.030708,160.240978,0.380802,15.215067,0.685994,275495.728341,0.916652,26.431286,37.857435,2.933764,69.547517,96.183863,56.955557,6.000000,40.104919
55.301262,71.750073,162.041140,160.849232,59.797700,57.161596,59.226152,12.975571,159.235961,1.589407,71.499709,55.992208,159.558947,161.427852,156.998743,160.189947,71.530174,159.697423,0.001957,-1.711652,32.000000,-237.031637,160.277926,0.380860,15.207660,0.685664,275567.682095,0.916398,26.355388,37.868273,2.932660,69.546880,96.172989,56.954153,6.000000,40.103256
55.335660,71.695718,162.101056,160.818275,59.777045,57.198205,59.150419,12.975098,159.276030,1.589271,71.422677,56.025821,159.535482,161.468871,156.984506,160.232543,71.539862,159.737181,0.001956,-1.709898,32.000000,-237.032095,160.320006,0.380904,15.215076,0.685595,275611.919556,0.916596,26.303105,37.874153,2.931674,69.546794,96.161654,56.952620,6.000000,40.122811
55.372482,71.640443,162.121887,160.786523,59.700932,57.234662,59.186046,12.975975,159.319980,1.589397,71.344457,56.062329,159.510640,161.515916,156.970597,160.279862,71.551405,159.782557,0.001974,-1.708137,32.000000,-237.031172,160.366299,0.380887,15.217910,0.685885,275732.248646,0.915793,26.220672,37.881533,2.930153,69.545851,96.150046,56.951370,6.000000,40.148464
55.395617,71.602716,162.149219,160.764930,59.656197,57.258954,59.190592,12.975231,159.353193,1.521488,71.290352,56.086540,159.493489,161.546536,156.960857,160.311945,71.560405,159.813632,0.001968,-1.706950,32.000000,-237.031923,160.511526,0.355275,15.225918,0.685662,275847.907154,0.916795,26.133458,37.888890,2.929414,69.544704,96.141855,56.950287,6.000000,40.169877
55.432944,71.544012,162.193013,160.731772,59.663964,57.295482,59.152771,12.974644,159.407308,1.343402,71.207839,56.123259,159.468268,161.596565,156.946085,160.363596,71.575692,159.864130,0.001958,-1.705882,32.000000,-237.032483,160.515991,0.299849,15.227498,0.685455,275959.706325,0.916023,26.043029,37.896794,2.927842,69.542580,96.129857,56.948703,6.000000,40.198765
55.470878,71.483651,162.281742,160.697926,59.716755,57.331886,59.180899,12.975118,159.464242,1.342336,71.123459,56.163293,159.441729,161.654994,156.929999,160.422827,71.591983,159.920062,0.001956,-1.704758,32.000000,-237.031971,160.571622,0.299831,15.234948,0.685114,276031.944098,0.915830,25.983223,37.901112,2.927113,69.539558,96.118098,56.947013,6.000000,40.234002
55.508801,71.421539,162.336414,160.663391,59.746825,57.368534,59.187996,12.974596,159.526046,1.342228,71.037247,56.200511,159.414097,161.713764,156.913278,160.484557,71.610853,159.978705,0.001976,-1.704180,32.000000,-237.032503,160.632003,0.299906,15.245969,0.685040,276137.068246,0.916180,25.888910,37.907461,2.925932,69.537392,96.107267,56.945120,6.000000,40.282552
55.532783,71.379120,162.378535,160.639989,59.763032,57.392793,59.151492,12.974926,159.570371,1.342036,70.979155,56.227711,159.395457,161.757274,156.902271,160.529101,71.624426,160.020733,0.001984,-1.703010,32.000000,-237.032161,160.677079,0.299705,15.251982,0.684868,276238.836167,0.915492,25.792379,37.915128,2.925530,69.536224,96.100407,56.944096,6.000000,40.308364
55.567898,71.314214,162.489741,160.604126,59.795329,57.429331,59.205439,12.974591,159.637588,1.342361,70.890265,56.264949,159.366386,161.826820,156.884846,160.597725,71.644861,160.087870,0.001969,-1.701282,32.000000,-237.032476,160.747166,0.299894,15.265780,0.684409,276337.454901,0.915129,25.694129,37.921370,2.924517,69.533391,96.090011,56.942160,6.000000,40.354779
55.601625,71.247033,162.561282,160.567992,59.862986,57.465845,59.163993,12.972765,159.708618,1.342187,70.799457,56.300021,159.336811,161.896445,156.866781,160.669980,71.667361,160.158114,0.001968,-1.700125,32.000000,-237.034339,160.818948,0.299664,15.279080,0.684193,276400.528867,0.915544,25.628864,37.925791,2.924012,69.530701,96.080020,56.940513,6.000000,40.412154
55.639594,71.178503,162.663096,160.532138,59.923953,57.502467,59.162325,12.972864,159.777698,1.540077,70.706843,56.337292,159.306936,161.972039,156.849215,160.747470,71.691556,160.233229,0.001968,-1.698382,32.000000,-237.034227,160.867050,0.369160,15.294635,0.683861,276495.474990,0.914499,25.530524,37.934091,2.924166,69.528407,96.069383,56.939630,6.000000,40.453998
55.663693,71.131787,162.727203,160.508515,59.954608,57.526914,59.188008,12.973731,159.833989,1.518795,70.644196,56.362466,159.287154,162.024362,156.837085,160.801022,71.708326,160.285441,0.001988,-1.697224,32.000000,-237.033308,160.969434,0.355016,15.292136,0.683403,276586.794661,0.914949,25.431243,37.941648,2.923679,69.527093,96.061993,56.939021,6.000000,40.490609
55.700059,71.060386,162.803460,160.473732,59.996418,57.563531,59.182487,12.973731,159.920888,1.348503,70.547496,56.398514,159.256461,162.107960,156.817042,160.886336,71.733320,160.366885,0.001973,-1.695497,32.000000,-237.033358,161.112076,0.300219,15.300726,0.682908,276674.196498,0.914705,25.326596,37.949583,2.923513,69.524961,96.050456,56.937387,6.000000,40.551163
55.733952,70.986674,162.877798,160.440157,60.005483,57.600098,59.153717,12.973368,160.009084,1.347685,70.449375,56.431097,159.226355,162.194625,156.798296,160.975838,71.759720,160.453085,0.001963,-1.693764,32.000000,-237.033726,161.199300,0.300355,15.301462,0.683158,276731.704515,0.914148,25.256964,37.955138,2.923399,69.522621,96.039867,56.935954,6.000000,40.595333
55.765245,70.910292,162.948329,160.407642,60.060058,57.636684,59.222436,12.973459,160.101421,1.347736,70.347001,56.463133,159.196382,162.286868,156.778808,161.068477,71.786993,160.544064,0.001963,-1.692027,32.000000,-237.033669,161.290644,0.300183,15.302726,0.682889,276816.333940,0.913986,25.151002,37.964960,2.922860,69.520067,96.029678,56.935258,6.000000,40.650933
55.786431,70.858047,162.988584,160.386511,60.137328,57.660902,59.173899,12.973155,160.163017,1.347981,70.277186,56.485005,159.176439,162.352019,156.765191,161.132106,71.805503,160.607925,0.001983,-1.690861,32.000000,-237.033982,161.340663,0.300224,15.305063,0.682995,276898.307622,0.914221,25.045089,37.975395,2.922416,69.518264,96.023349,56.934079,6.000000,40.667189
55.816844,70.777920,163.106804,160.355923,60.217210,57.689291,59.200570,12.973569,160.260543,1.588252,70.170655,56.515054,159.147245,162.451425,156.744819,161.230918,71.834650,160.704532,0.001974,-1.689119,32.000000,-237.033553,161.422232,0.382001,15.316941,0.683089,276977.718862,0.912992,24.938993,37.986982,2.922041,69.515962,96.014708,56.932033,6.000000,40.737380
55.844730,70.694647,163.201824,160.326726,60.359400,57.713689,59.167980,12.972949,160.362735,1.593689,70.060458,56.544019,159.119328,162.553787,156.723994,161.332494,71.864885,160.805147,0.001964,-1.687377,32.000000,-237.034174,161.524450,0.383146,15.331554,0.683046,277028.387667,0.913617,24.866636,37.995739,2.921653,69.514126,96.005374,56.930054,6.000000,40.799039
55.870922,70.609111,163.271913,160.299010,60.467262,57.738018,59.183326,12.973147,160.470667,1.593859,69.948633,56.569266,159.091406,162.660143,156.703164,161.439347,71.896320,160.909602,0.001964,-1.685644,32.000000,-237.033918,161.633433,0.383447,15.348955,0.682760,277063.539739,0.912914,24.757651,38.007826,2.922179,69.512727,95.996658,56.928057,6.000000,40.840034
55.886388,70.550958,163.354598,160.281848,60.533181,57.754347,59.206293,12.973162,160.543655,1.593831,69.874125,56.584472,159.073478,162.735316,156.689955,161.511461,71.918528,160.981717,0.001983,-1.684477,32.000000,-237.033886,161.706717,0.383290,15.346125,0.682240,277076.926726,0.913100,24.647927,38.020516,2.922421,69.512297,95.991071,56.927383,6.000000,40.895071
55.906272,70.463508,163.451006,160.257844,60.544068,57.778721,59.154884,12.972678,160.653439,1.406591,69.764119,56.603346,159.046649,162.845995,156.669858,161.620769,71.951459,161.090637,0.001991,-1.682729,32.000000,-237.034313,161.828372,0.316922,15.357114,0.681523,277087.408905,0.912570,24.537557,38.033622,2.922306,69.511511,95.981798,56.926133,6.000000,40.937977
55.921397,70.376918,163.532827,160.236576,60.562721,57.803121,59.145074,12.973099,160.766933,1.349004,69.657165,56.616306,159.021696,162.960432,156.651151,161.734345,71.984685,161.202936,0.001975,-1.680973,32.000000,-237.033836,161.939948,0.301813,15.370625,0.681852,277092.917697,0.912056,24.464745,38.042152,2.922976,69.511280,95.973483,56.925770,6.000000,41.010035
55.930162,70.291470,163.633565,160.218722,60.614674,57.827539,59.180196,12.972149,160.880056,1.349007,69.551527,56.626498,158.998446,163.073346,156.631678,161.849571,72.018871,161.314392,0.001976,-1.680238,32.000000,-237.034797,162.052727,0.301784,15.378279,0.681592,277102.149816,0.912666,24.358452,38.055629,2.923661,69.510686,95.966308,56.925644,6.000000,41.066600
55.934542,70.234796,163.720741,160.208253,60.662256,57.843737,59.167470,12.972205,160.954704,1.349004,69.482599,56.630988,158.983712,163.148897,156.618048,161.924602,72.042073,161.391298,0.001977,-1.679658,32.000000,-237.034687,162.128157,0.301962,15.384209,0.681233,277113.028876,0.912722,24.257531,38.070223,2.924334,69.510246,95.962348,56.925623,6.000000,41.117327
55.937248,70.150676,163.845015,160.195029,60.619804,57.860153,59.156780,12.971812,161.067995,1.349053,69.381499,56.633439,158.963669,163.261944,156.597322,162.036998,72.077661,161.502273,0.001996,-1.679666,32.000000,-237.035005,162.239936,0.301841,15.394279,0.681297,277125.359581,0.912203,24.163780,38.083476,2.925677,69.509770,95.957815,56.925481,6.000000,41.199228
55.938952,70.068709,164.004497,160.185363,60.524491,57.864224,59.178283,12.972044,161.173144,1.555561,69.284868,56.635449,158.946158,163.372082,156.578388,162.147561,72.113505,161.611593,0.001978,-1.679666,32.000000,-237.034741,162.323185,0.374049,15.411690,0.681401,277133.509845,0.912439,24.102956,38.092993,2.927006,69.510098,95.954394,56.925975,6.000000,41.279467
