Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, October 25, 2018
9:57:58 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
2.410339,18.424077,3.898098,37.314485,12.477917,0.278891,59.648007,0.870564,3.701008,0.007252,18.648885,2.439265,33.871927,3.674372,28.468587,3.662579,7.441926,3.649352,0.000342,-0.000044,0.000000,-16.367396,3.702995,0.003970,179.999974,0.000263,319.967788,0.003157,73.258245,29.868214
2.393199,18.461021,3.896168,37.582713,12.477909,0.279538,59.642357,0.870592,3.698409,0.007610,18.709255,2.422435,34.114480,3.672018,28.678838,3.659947,7.431328,3.646573,0.000347,-0.000044,0.000000,-16.367365,3.700013,0.003768,179.999974,0.000274,329.026711,0.003238,73.957123,29.851767
2.370469,18.524847,3.894171,37.978687,12.477896,0.279877,59.638949,0.870611,3.693731,0.007975,18.807137,2.400226,34.475173,3.667440,28.991045,3.655088,7.415502,3.641710,0.000349,-0.000044,0.000000,-16.367345,3.695458,0.003552,179.999974,0.000283,336.405225,0.003301,74.616754,29.829605
2.351863,18.596007,3.889471,38.362638,12.477883,0.279509,59.642299,0.870571,3.688182,0.007776,18.913287,2.382272,34.831278,3.661854,29.300042,3.649288,7.399591,3.636082,0.000376,-0.000044,0.000000,-16.367390,3.690211,0.002915,179.999974,0.000288,340.342397,0.003334,75.022084,29.808848
2.337871,18.676872,3.884549,38.724254,12.477871,0.278588,59.651163,0.870589,3.681844,0.007546,19.029860,2.368993,35.181089,3.655246,29.604643,3.642582,7.384452,3.629743,0.000395,-0.000044,0.000000,-16.367367,3.684445,0.002197,179.999974,0.000294,345.051716,0.003374,75.589228,29.767574
2.330975,18.734906,3.880016,38.951589,12.477862,0.277759,59.647001,0.870572,3.677265,0.007395,19.111110,2.362294,35.409915,3.650354,29.804947,3.637688,7.374358,3.625126,0.000397,-0.000043,0.000000,-16.367378,3.680503,0.002201,179.999974,0.000298,348.227211,0.003398,76.090024,29.715389
2.322459,18.826573,3.874422,39.269211,12.477851,0.276468,59.653736,0.870569,3.670573,0.007935,19.237093,2.353727,35.744082,3.643160,30.100920,3.630601,7.358723,3.618163,0.000415,-0.000043,0.000000,-16.367379,3.674749,0.002191,179.999974,0.000300,349.961610,0.003409,76.517348,29.651486
2.315158,18.921193,3.869232,39.555037,12.477839,0.275238,59.635236,0.870573,3.664123,0.008606,19.366685,2.346344,36.064780,3.636162,30.390564,3.623525,7.342367,3.611259,0.000400,-0.000044,0.000000,-16.367373,3.669592,0.001897,179.999974,0.000301,350.436257,0.003411,76.761171,29.603181
2.308343,19.015862,3.863239,39.819548,12.477829,0.274131,59.644448,0.870524,3.657786,0.009118,19.498941,2.339427,36.373917,3.629443,30.676919,3.616736,7.326129,3.604642,0.000372,-0.000044,0.000000,-16.367426,3.664485,0.001486,179.999974,0.000301,350.830715,0.003409,77.098701,29.530968
2.304176,19.078667,3.859903,39.983985,12.477823,0.273456,59.631715,0.870553,3.653642,0.009416,19.587974,2.335159,36.571964,3.625222,30.864775,3.612540,7.313925,3.600369,0.000364,-0.000044,0.000000,-16.367399,3.661214,0.001434,179.999974,0.000301,351.139821,0.003407,77.417330,29.460743
2.298089,19.172568,3.854470,40.216016,12.477813,0.272498,59.647577,0.870540,3.647669,0.010082,19.722654,2.329106,36.857318,3.619087,31.139595,3.606262,7.295007,3.594189,0.000370,-0.000044,0.000000,-16.367422,3.655055,0.001468,179.999974,0.000300,351.549954,0.003405,77.726507,29.394325
2.292341,19.266285,3.849645,40.435558,12.477806,0.271575,59.644372,0.870487,3.641820,0.010801,19.858970,2.323352,37.131621,3.612968,31.408305,3.600212,7.275734,3.588291,0.000362,-0.000044,0.000000,-16.367476,3.649793,0.001572,179.999974,0.000300,351.864323,0.003405,77.924554,29.354452
2.286908,19.359980,3.844860,40.642316,12.477800,0.270684,59.654758,0.870483,3.636379,0.011517,19.995950,2.317994,37.393508,3.607263,31.669143,3.594402,7.255549,3.582660,0.000361,-0.000044,0.000000,-16.367475,3.645017,0.001417,179.999974,0.000300,352.396721,0.003403,78.217954,29.298970
2.283447,19.422617,3.841836,40.775027,12.477796,0.270132,59.652526,0.870452,3.632857,0.010986,20.088077,2.314478,37.562865,3.603545,31.839167,3.590648,7.242014,3.579003,0.000358,-0.000044,0.000000,-16.367504,3.641764,0.001417,179.999974,0.000300,352.951613,0.003402,78.504349,29.248090
2.278491,19.516802,3.836632,40.967298,12.477791,0.269303,59.633972,0.870489,3.627723,0.010371,20.226296,2.309458,37.808839,3.598136,32.088116,3.585030,7.221489,3.573883,0.000360,-0.000044,0.000000,-16.367471,3.637999,0.001353,179.999974,0.000300,353.524682,0.003400,78.784446,29.202640
2.273925,19.611447,3.832542,41.151276,12.477787,0.268567,59.648788,0.870521,3.622758,0.010804,20.365333,2.304742,38.044054,3.592944,32.329183,3.579646,7.199756,3.568846,0.000343,-0.000044,0.000000,-16.367439,3.633510,0.001732,179.999974,0.000300,353.944309,0.003399,78.968304,29.173836
2.269606,19.706708,3.829029,41.329473,12.477781,0.267861,59.645629,0.870468,3.617862,0.011077,20.504932,2.300561,38.271536,3.588054,32.564183,3.574512,7.176059,3.563999,0.000331,-0.000045,0.000000,-16.367498,3.629111,0.001674,179.999974,0.000299,354.579459,0.003399,79.239796,29.136259
2.267010,19.770704,3.826348,41.444601,12.477778,0.267430,59.572452,0.870474,3.614817,0.011045,20.598653,2.297935,38.418416,3.584868,32.717708,3.571254,7.159726,3.560959,0.000327,-0.000044,0.000000,-16.367493,3.626292,0.001655,179.999974,0.000299,355.294667,0.003398,79.504246,29.101996
2.263384,19.867303,3.823229,41.612079,12.477775,0.266816,59.658137,0.870512,3.610620,0.011081,20.739241,2.294425,38.631920,3.580387,32.943289,3.566662,7.134332,3.556711,0.000307,-0.000045,0.000000,-16.367457,3.622308,0.001121,179.999974,0.000299,356.056557,0.003397,79.764860,29.073967
