Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Wednesday, September 5, 2018
1:20:32 PM

6
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min
-0.870558,19.581183,0.339687,287.642842,-0.898279,-1.253420,0.000000,376.525669,0.126500,-0.743691,19.553963,-250.001680,19.345245,0.393947,19.374203,0.216200,19.408670,0.274552,0.053451,-0.528567,-0.595027,0.593201,-2.643494,0.986260
-0.870460,19.581256,0.340181,363.873715,-0.898336,-1.252112,0.000000,376.592691,0.127066,-0.739181,19.553742,-250.001651,19.345292,0.394049,19.374097,0.216358,19.408431,0.273824,0.053704,-0.527947,-0.595547,0.593494,-2.643232,0.986247
-0.870017,19.581296,0.339912,389.284007,-0.892980,-1.252707,0.000000,377.867865,0.128154,-0.739964,19.553718,-250.001685,19.345111,0.394600,19.373748,0.216267,19.408220,0.274001,0.053856,-0.527213,-0.595404,0.593159,-2.642429,0.986246
-0.869302,19.581333,0.340218,440.104589,-0.892461,-1.250210,0.000000,376.560964,0.127930,-0.740057,19.553572,-250.001751,19.344859,0.393919,19.373588,0.215963,19.408222,0.273050,0.053876,-0.528177,-0.594975,0.592679,-2.642281,0.986248
-0.869199,19.581379,0.341916,389.284007,-0.897407,-1.250329,0.000000,376.478544,0.128225,-0.744227,19.553865,-250.001756,19.344927,0.394075,19.373476,0.217269,19.408360,0.272717,0.053837,-0.526639,-0.595878,0.592561,-2.641937,0.986248
-0.869089,19.581402,0.343124,338.463424,-0.900494,-1.248693,0.000000,376.475663,0.128744,-0.740235,19.553903,-250.001787,19.345245,0.395062,19.373398,0.218025,19.408641,0.272383,0.054034,-0.526341,-0.595452,0.592764,-2.641396,0.986247
-0.869350,19.581425,0.343442,363.873715,-0.900862,-1.248010,0.000000,376.798133,0.128918,-0.739342,19.553733,-250.001721,19.345267,0.395140,19.373369,0.217820,19.408574,0.272065,0.054062,-0.525905,-0.594049,0.592047,-2.640954,0.986244
-0.870281,19.581483,0.344600,414.694298,-0.899269,-1.247891,0.000000,377.132079,0.128643,-0.732803,19.553627,-250.001736,19.345478,0.394618,19.373321,0.217518,19.408703,0.269410,0.054021,-0.524367,-0.594714,0.591207,-2.639872,0.986248
-0.869996,19.581538,0.344709,465.514880,-0.899201,-1.248039,0.000000,376.324749,0.129327,-0.739346,19.553813,-250.001693,19.345518,0.395359,19.373534,0.216076,19.408692,0.268224,0.053910,-0.523404,-0.595958,0.589641,-2.641068,0.986247
-0.868342,19.581581,0.343424,389.284007,-0.897754,-1.247980,0.000000,376.464087,0.130284,-0.736323,19.553973,-250.001711,19.345606,0.393870,19.373606,0.215931,19.408489,0.267979,0.053571,-0.523266,-0.595591,0.588605,-2.640757,0.986252
-0.866865,19.581616,0.344283,363.873715,-0.894466,-1.247088,0.000000,376.535338,0.130258,-0.738967,19.553953,-250.001688,19.345630,0.394611,19.373554,0.216569,19.408462,0.268085,0.053562,-0.524069,-0.595225,0.587854,-2.640626,0.986249
-0.868375,19.581685,0.344096,338.463424,-0.899887,-1.248218,0.000000,377.880166,0.131769,-0.733446,19.553864,-250.001747,19.345685,0.392677,19.373502,0.217557,19.408514,0.268456,0.053457,-0.523771,-0.595993,0.586563,-2.640855,0.986256
-0.869597,19.581734,0.342718,389.284007,-0.903217,-1.247653,0.000000,375.467336,0.132671,-0.738981,19.553906,-250.001672,19.345718,0.391280,19.373598,0.216449,19.408579,0.267592,0.053087,-0.522853,-0.594752,0.585299,-2.640708,0.986247
-0.871022,19.581766,0.343929,389.284007,-0.904529,-1.247534,0.000000,376.453859,0.132783,-0.737459,19.554016,-250.001656,19.345964,0.391913,19.373851,0.215748,19.408516,0.267302,0.053029,-0.521545,-0.594801,0.585345,-2.640659,0.986247
-0.871081,19.581814,0.344126,414.694298,-0.899708,-1.247088,0.000000,376.527809,0.133022,-0.738785,19.554016,-250.001678,19.346023,0.392044,19.373973,0.215551,19.408664,0.266894,0.053202,-0.521683,-0.595304,0.584495,-2.641790,0.986247
-0.869579,19.581881,0.345270,389.284007,-0.899712,-1.246999,0.000000,376.457392,0.133507,-0.738124,19.554018,-250.001733,19.346259,0.392095,19.374350,0.214374,19.409061,0.265617,0.053293,-0.520420,-0.594448,0.584174,-2.641675,0.986235
-0.865529,19.581916,0.345282,389.284007,-0.902170,-1.245988,0.000000,376.989842,0.134131,-0.737659,19.554226,-250.001731,19.346481,0.389112,19.374542,0.213920,19.409156,0.266875,0.053315,-0.520558,-0.594548,0.584804,-2.641478,0.986229
-0.863669,19.581985,0.345481,389.284007,-0.902056,-1.246880,0.000000,376.524170,0.136089,-0.742044,19.554030,-250.001703,19.346189,0.388713,19.374557,0.214392,19.409298,0.266807,0.053312,-0.521338,-0.594607,0.583791,-2.641560,0.986239
-0.863215,19.582024,0.345714,389.284007,-0.904343,-1.246642,0.000000,375.551846,0.136368,-0.739896,19.554000,-250.001734,19.346242,0.388936,19.374411,0.214356,19.409249,0.265995,0.053488,-0.521338,-0.593971,0.583570,-2.641462,0.986235
-0.864241,19.582056,0.345470,338.463424,-0.905844,-1.246553,0.000000,376.583146,0.136566,-0.738292,19.554054,-250.001683,19.346306,0.388725,19.374749,0.216074,19.409162,0.266208,0.053471,-0.522187,-0.594226,0.582432,-2.640626,0.986235
-0.863015,19.582100,0.344362,363.873715,-0.904918,-1.245780,0.000000,376.442555,0.137055,-0.734143,19.554053,-250.001601,19.346346,0.390371,19.374791,0.214291,19.408920,0.265351,0.053474,-0.523404,-0.595383,0.581873,-2.640446,0.986228
-0.863057,19.582158,0.343051,338.463424,-0.897646,-1.247148,0.000000,376.363583,0.137482,-0.737098,19.553773,-250.001493,19.346434,0.392433,19.374804,0.212901,19.408819,0.264907,0.053330,-0.523243,-0.594773,0.580940,-2.639315,0.986225
-0.864882,19.582189,0.342505,363.873715,-0.899737,-1.246464,0.000000,375.694764,0.137691,-0.733957,19.554053,-250.001497,19.346595,0.391207,19.374817,0.214078,19.408835,0.264792,0.053330,-0.522784,-0.594596,0.581744,-2.639446,0.986222
-0.866234,19.582201,0.342551,414.694298,-0.901616,-1.245631,0.000000,376.760153,0.137058,-0.737023,19.554138,-250.001416,19.346822,0.391434,19.374984,0.213237,19.409061,0.265345,0.052906,-0.522348,-0.594635,0.581344,-2.639560,0.986221
-0.864859,19.582232,0.340238,440.104589,-0.901481,-1.248129,0.000000,377.851517,0.138017,-0.731810,19.554338,-250.001456,19.346976,0.391807,19.375075,0.213563,19.409164,0.265630,0.052807,-0.522738,-0.595768,0.581573,-2.639069,0.986220
-0.861795,19.582261,0.341720,490.925172,-0.901313,-1.248783,0.000000,377.926012,0.137339,-0.737187,19.554302,-250.001519,19.346960,0.393192,19.374912,0.213163,19.408896,0.264805,0.052363,-0.522555,-0.596124,0.582055,-2.639708,0.986223
-0.859800,19.582289,0.340753,490.925172,-0.901763,-1.248515,0.000000,376.552813,0.137244,-0.732406,19.554311,-250.001559,19.346910,0.393215,19.374691,0.212334,19.408977,0.265838,0.052366,-0.523059,-0.595388,0.582515,-2.639675,0.986225
-0.859381,19.582312,0.341612,465.514880,-0.900434,-1.251250,0.000000,376.352084,0.137282,-0.737949,19.554128,-250.001633,19.346820,0.395513,19.374526,0.213299,19.408839,0.262789,0.052519,-0.521866,-0.596589,0.582419,-2.639593,0.986212
-0.861659,19.582325,0.341167,490.925172,-0.893337,-1.252766,0.000000,376.564673,0.137831,-0.732253,19.554217,-250.001674,19.347009,0.395793,19.374496,0.213128,19.408884,0.262914,0.052610,-0.522945,-0.596522,0.581213,-2.639151,0.986214
-0.861282,19.582387,0.339633,490.925172,-0.892894,-1.252974,0.000000,376.362237,0.138089,-0.735240,19.554418,-250.001733,19.347532,0.397201,19.374917,0.211396,19.409292,0.260680,0.052601,-0.524230,-0.596483,0.579432,-2.638085,0.986219
-0.859451,19.582426,0.340010,490.925172,-0.898790,-1.252350,0.000000,376.427675,0.136215,-0.736212,19.554605,-250.001713,19.347637,0.396881,19.375258,0.211848,19.409484,0.262022,0.052579,-0.524551,-0.596881,0.579116,-2.638167,0.986216
-0.856360,19.582468,0.340430,465.514880,-0.898786,-1.253034,0.000000,377.917621,0.134675,-0.737262,19.554633,-250.001705,19.347724,0.397150,19.375417,0.214191,19.409362,0.262306,0.052822,-0.525102,-0.596291,0.579652,-2.638118,0.986224
-0.854907,19.582514,0.341997,465.514880,-0.902906,-1.252855,0.000000,377.104128,0.134831,-0.736498,19.554776,-250.001741,19.347879,0.396111,19.375624,0.214540,19.409126,0.261394,0.052828,-0.526111,-0.598369,0.578928,-2.637233,0.986225
-0.855737,19.582546,0.339502,389.284007,-0.901677,-1.254372,0.000000,376.578391,0.134952,-0.731960,19.554718,-250.001731,19.347953,0.397555,19.375650,0.217330,19.408795,0.260211,0.052821,-0.524735,-0.599690,0.579266,-2.636544,0.986223
-0.857112,19.582567,0.338509,338.463424,-0.902767,-1.254877,0.000000,375.460652,0.135607,-0.733175,19.554668,-250.001708,19.347837,0.396435,19.375677,0.218180,19.408664,0.259254,0.052777,-0.525767,-0.600249,0.578614,-2.637069,0.986229
-0.858255,19.582647,0.336697,338.463424,-0.895374,-1.255353,0.000000,376.507478,0.134630,-0.732467,19.554593,-250.001685,19.347682,0.396734,19.375707,0.217951,19.408471,0.258727,0.052793,-0.526111,-0.600887,0.578252,-2.636348,0.986221
-0.855619,19.582699,0.336352,338.463424,-0.894252,-1.256007,0.000000,376.297924,0.133469,-0.735086,19.554502,-250.001728,19.347570,0.397266,19.375545,0.219031,19.408361,0.258229,0.052338,-0.526662,-0.599463,0.578296,-2.636987,0.986224
-0.854035,19.582743,0.333065,338.463424,-0.900451,-1.254461,0.000000,376.422161,0.133698,-0.730362,19.554511,-250.001695,19.347696,0.397035,19.375740,0.220282,19.408346,0.256034,0.052242,-0.527167,-0.599671,0.576293,-2.636676,0.986217
-0.855271,19.582791,0.333552,363.873715,-0.904922,-1.252915,0.000000,377.788053,0.133539,-0.735447,19.554548,-250.001659,19.347634,0.397073,19.375902,0.220219,19.408460,0.255177,0.051758,-0.527511,-0.598495,0.576051,-2.637430,0.986219
-0.856778,19.582825,0.332088,363.873715,-0.902713,-1.253301,0.000000,377.776213,0.133642,-0.730309,19.554654,-250.001662,19.347765,0.397391,19.376035,0.220321,19.408416,0.255244,0.051743,-0.527374,-0.597097,0.576073,-2.637430,0.986221
-0.858941,19.582834,0.332711,440.104589,-0.901112,-1.252588,0.000000,376.499371,0.133559,-0.735101,19.554601,-250.001662,19.347903,0.395531,19.376042,0.219923,19.408451,0.256300,0.051912,-0.528337,-0.595961,0.576145,-2.637200,0.986219
-0.857555,19.582877,0.330151,440.104589,-0.901102,-1.254074,0.000000,376.367353,0.132139,-0.730194,19.554274,-250.001662,19.347685,0.396170,19.376048,0.218947,19.408272,0.256775,0.051970,-0.528682,-0.596601,0.575497,-2.636872,0.986221
-0.858020,19.582941,0.328682,465.514880,-0.897468,-1.254580,0.000000,378.024193,0.131790,-0.733639,19.554374,-250.001672,19.347512,0.395263,19.376086,0.219365,19.408094,0.257916,0.051954,-0.531022,-0.597959,0.575362,-2.637167,0.986219
-0.858296,19.582961,0.327597,490.925172,-0.893759,-1.254045,0.000000,376.452422,0.131809,-0.735447,19.554497,-250.001628,19.347307,0.396117,19.376041,0.219172,19.408078,0.259511,0.051957,-0.531458,-0.598181,0.575314,-2.636839,0.986218
-0.858040,19.582992,0.327086,440.104589,-0.899776,-1.256304,0.000000,376.449228,0.132118,-0.736280,19.554385,-250.001597,19.347482,0.394908,19.375922,0.221488,19.407910,0.260267,0.052272,-0.531848,-0.598094,0.576596,-2.636430,0.986208
-0.857746,19.583037,0.328377,440.104589,-0.901338,-1.256572,0.000000,377.946747,0.129526,-0.735633,19.554499,-250.001575,19.347636,0.394390,19.376173,0.220152,19.408032,0.258750,0.052292,-0.532996,-0.596765,0.576924,-2.636184,0.986213
-0.858143,19.583073,0.327977,490.925172,-0.904121,-1.258207,0.000000,377.935359,0.128181,-0.730888,19.554494,-250.001672,19.347621,0.396709,19.375892,0.220454,19.408078,0.257347,0.052289,-0.533065,-0.597084,0.576886,-2.636659,0.986214
-0.857415,19.583088,0.327903,541.745754,-0.899186,-1.257166,0.000000,376.430565,0.127810,-0.732210,19.554428,-250.001646,19.347682,0.397016,19.375835,0.220228,19.408053,0.257410,0.052209,-0.534189,-0.597051,0.576748,-2.636659,0.986208
