Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 10, 2018
1:53:06 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.946755,75.903126,161.652365,163.899149,64.410668,56.522644,59.287732,12.739759,158.928951,1.336201,76.276810,55.667772,162.377381,161.212255,159.380666,160.055343,107.764766,159.104243,0.001899,-1.691994,32.000000,-237.267258,160.044666,0.307543,15.321321,0.685675,236622.635408,0.921767,30.706291,1.391183,2.941259,66.149623,66.101673,95.348831,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945139,75.905611,161.668484,163.901598,64.414054,56.522589,55.329953,12.739137,158.926989,1.589043,76.279915,55.673624,162.379338,161.218260,159.384211,160.059943,107.768848,159.106423,0.001874,-1.692015,32.000000,-237.267822,160.080523,0.400350,15.329203,0.684752,236626.113741,0.921235,30.710155,1.394138,2.941375,66.148713,66.101664,95.352658,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945946,75.908284,161.635582,163.903327,64.451374,56.522741,52.771364,12.739573,158.929953,1.834528,76.283499,55.680434,162.382166,161.224700,159.387633,160.065436,107.771439,159.113690,0.001852,-1.692594,32.000000,-237.267369,160.148605,0.474221,15.339370,0.684080,236626.309749,0.920819,30.713270,1.392266,2.941982,66.145946,66.101333,95.356970,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.946806,75.911910,161.594677,163.904500,64.464643,56.522542,59.265982,12.739129,158.938179,1.836799,76.288482,55.681230,162.383828,161.230569,159.390844,160.069241,107.773129,159.121121,0.001866,-1.694346,32.000000,-237.267906,160.152791,0.474410,15.350192,0.683816,236623.989979,0.986723,30.717307,1.389121,2.942362,66.141666,66.100440,95.359597,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.948945,75.915152,161.649290,163.906165,64.561374,56.522429,59.281926,12.739599,158.950536,1.710847,76.293910,55.683901,162.384467,161.232019,159.392992,160.075746,107.775851,159.123638,0.001882,-1.695553,32.000000,-237.267410,160.183851,0.424591,15.360778,0.683228,236623.870685,1.034556,30.719205,1.389654,2.941720,66.136684,66.099258,95.362241,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.948427,75.919406,161.693671,163.908605,64.636952,56.522587,59.236334,12.738587,158.955245,1.339608,76.299620,55.681922,162.386208,161.237504,159.394908,160.079353,107.778688,159.126632,0.001897,-1.695542,32.000000,-237.268464,160.214943,0.306979,15.370175,0.682581,236623.375667,0.921175,30.722005,1.391159,2.940929,66.130352,66.097824,95.366439,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.954706,75.922732,161.672754,163.911264,64.604579,56.522883,59.268673,12.739297,158.963100,1.337435,76.303240,55.682939,162.388145,161.238346,159.397500,160.081517,107.782717,159.132873,0.001876,-1.695405,32.000000,-237.267713,160.220375,0.307220,15.379114,0.682297,236621.695766,0.920894,30.723194,1.389519,2.941809,66.125053,66.096465,95.369375,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.953950,75.926112,161.616416,163.914474,64.678256,56.522949,51.304153,12.738796,158.966858,1.337893,76.306955,55.683162,162.390595,161.239474,159.399479,160.084006,107.785774,159.136356,0.001892,-1.695280,32.000000,-237.268229,160.218249,0.306959,15.382594,0.682079,236622.825137,0.921624,30.727946,1.387969,2.942644,66.117097,66.094019,95.371845,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.952838,75.928834,161.588442,163.917102,64.769109,56.523022,59.238217,12.738997,158.969900,1.338505,76.312987,55.683222,162.392013,161.241620,159.400002,160.083013,107.789794,159.139984,0.001911,-1.695289,32.000000,-237.268146,160.217282,0.307184,15.391698,0.681526,236619.833561,0.921019,30.725241,1.386622,2.941927,66.110049,66.092533,95.374829,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.950203,75.933281,161.536959,163.921232,64.771397,56.523101,52.345510,12.739549,158.971069,1.339129,76.320060,55.680606,162.394383,161.245460,159.401443,160.081410,107.794734,159.139601,0.001924,-1.696451,32.000000,-237.267959,160.213826,0.307360,15.395149,0.681165,236619.605421,1.064025,30.729349,1.385063,2.940943,66.101526,66.089901,95.377084,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
