Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, November 2, 2018
5:10:55 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
3.227158,40.685671,5.224611,61.944846,0.303425,0.381074,0.000000,0.869291,4.945514,0.047752,42.435585,3.263848,60.472684,4.956553,54.051009,4.889316,16.662313,4.879734,-0.000028,0.000110,0.000000,-16.368071,4.959070,-0.001170,-40.002026,-0.001894,NaN,Inf,37.715433,-1.666170
3.216004,40.662252,5.201785,61.987742,0.300304,0.379403,0.000000,0.869357,4.921073,0.047731,42.383223,3.252146,60.513187,4.934041,54.072108,4.866452,16.569215,4.860884,-0.000049,0.000110,0.000000,-16.368005,4.934765,-0.001205,-40.001964,-0.001884,NaN,Inf,37.848497,-1.676756
3.193820,40.624072,5.155042,62.044706,0.295074,0.372280,0.000000,0.869370,4.875257,0.048514,42.301271,3.228622,60.569516,4.887675,54.176961,4.820350,16.420014,4.819139,-0.000075,0.000110,0.000000,-16.367993,4.889634,-0.001286,-40.001958,-0.001874,NaN,Inf,37.970529,-1.687851
3.167213,40.578629,5.110522,62.088298,0.289163,0.366695,0.000000,0.869309,4.833631,0.049057,42.225363,3.201141,60.618177,4.844930,54.534448,4.778183,16.242089,4.780149,-0.000101,0.000110,0.000000,-16.368061,4.848802,-0.001502,-40.001867,-0.001863,NaN,Inf,38.044805,-1.715187
3.140762,40.539279,5.070922,62.130320,0.283733,0.362761,0.000000,0.869281,4.796138,0.049268,42.176772,3.174492,60.663994,4.806361,54.909855,4.740212,16.056676,4.744151,-0.000133,0.000110,0.000000,-16.368091,4.812897,-0.001404,-40.001891,-0.001820,NaN,Inf,38.201710,-1.833967
3.123961,40.521491,5.045742,62.161174,0.280255,0.360550,0.000000,0.869307,4.772830,0.048481,42.154144,3.157581,60.694576,4.782543,55.112047,4.716779,15.932001,4.722000,-0.000154,0.000110,0.000000,-16.368068,4.790238,-0.000868,-40.001931,-0.001793,NaN,Inf,38.391629,-1.907931
3.100610,40.506643,5.009721,62.211372,0.275604,0.357322,0.000000,0.869312,4.738210,0.050441,42.136758,3.134039,60.740550,4.747530,55.346487,4.682128,15.741741,4.689269,-0.000187,0.000110,0.000000,-16.368056,4.756701,-0.000550,-40.001907,-0.001776,NaN,Inf,38.587767,-1.956471
3.078199,40.507852,4.974110,62.264065,0.270618,0.353694,0.000000,0.869250,4.704751,0.051491,42.136386,3.111209,60.787306,4.713239,55.509028,4.648260,15.548627,4.656776,-0.000219,0.000110,0.000000,-16.368115,4.724216,-0.000078,-40.001915,-0.001768,NaN,Inf,38.720343,-1.976430
3.056387,40.516620,4.940555,62.317639,0.265709,0.350574,0.000000,0.869318,4.672418,0.051692,42.145735,3.089168,60.833663,4.680428,55.648571,4.615677,15.353203,4.625763,-0.000251,0.000110,0.000000,-16.368046,4.692726,0.000621,-40.001911,-0.001754,NaN,Inf,38.915519,-2.000823
3.042181,40.526097,4.917889,62.354109,0.262691,0.348453,0.000000,0.869293,4.651310,0.051111,42.157704,3.074900,60.864757,4.658928,55.727128,4.594417,15.221812,4.605403,-0.000272,0.000110,0.000000,-16.368075,4.672221,0.000886,-40.001892,-0.001737,NaN,Inf,39.119445,-2.021942
