Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 11, 2018
5:40:56 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.929765,75.664085,161.386604,161.764145,46.944063,56.523431,59.298732,12.766189,158.599842,0.493961,76.277749,55.560695,160.111688,160.662620,156.552620,159.572547,75.403658,158.843272,0.001875,-1.797057,32.000000,-237.240967,159.687766,0.146625,15.161552,0.690030,271429.325314,0.921196,30.451231,33.651074,2.938148,67.082868,61.577687,94.023740,13.000000,47.511325,63.920000,44.032238,11.759494,19.186415
54.927108,75.678381,161.365078,161.782981,46.916948,56.523358,59.203303,12.765023,158.584745,0.515525,76.294196,55.558792,160.131508,160.642400,156.573316,159.558314,75.400085,158.829137,0.001842,-1.797072,32.000000,-237.241848,159.671024,0.150487,15.152882,0.690291,271441.212875,0.920878,30.466442,33.646838,2.937945,67.079508,61.571007,94.032679,13.000000,47.510064,63.920000,44.045926,11.759494,19.189554
54.926260,75.696084,161.330146,161.804320,46.884467,56.523064,52.221082,12.766203,158.572380,0.515491,76.314124,55.556710,160.155114,160.622291,156.597174,159.543346,75.395875,158.815729,0.001835,-1.797025,32.000000,-237.240727,159.657036,0.150039,15.148540,0.690014,271460.139698,0.920413,30.490546,33.641103,2.938054,67.076672,61.564530,94.045000,13.000000,47.494406,63.920000,44.060054,11.759494,19.193453
54.921647,75.710752,161.259034,161.822051,46.852186,56.523164,52.273219,12.766870,158.564625,0.515553,76.331337,55.554128,160.175366,160.609429,156.617504,159.526729,75.392461,158.804532,0.001834,-1.797012,32.000000,-237.240394,159.642590,0.150056,15.141454,0.690390,271474.803435,0.921978,30.507392,33.638592,2.937804,67.074738,61.559161,94.055383,13.000000,47.482430,63.920000,44.074891,11.759494,19.196744
54.915757,75.728092,161.196665,161.843464,46.792271,56.523116,59.318240,12.767806,158.555617,0.515546,76.351536,55.549457,160.197553,160.594246,156.641625,159.507577,75.386104,158.793115,0.001851,-1.797023,32.000000,-237.239652,159.630866,0.150709,15.142458,0.690481,271491.235333,1.045310,30.525909,33.637030,2.937213,67.072461,61.552395,94.066689,13.000000,47.426199,63.920000,44.095037,11.759494,19.200698
54.914427,75.742506,161.272146,161.861547,46.854688,56.523106,59.313390,12.769122,158.537580,0.865558,76.368462,55.549486,160.216184,160.584594,156.661738,159.492008,75.380873,158.781305,0.001850,-1.797040,32.000000,-237.238336,159.572387,0.275040,15.148248,0.690613,271507.557955,1.044405,30.545008,33.635623,2.936165,67.071377,61.546485,94.074869,13.000000,47.477917,63.920000,44.109695,11.759494,19.204023
54.910788,75.760061,161.257398,161.882910,47.034785,56.515096,59.119885,12.768790,158.527338,1.067217,76.389631,55.544301,160.239146,160.567973,156.685120,159.475480,75.374725,158.770852,0.001844,-1.797084,32.000000,-237.238651,159.561588,0.326806,15.141846,0.690432,271528.379156,0.920512,30.568005,33.637064,2.935344,67.070859,61.540247,94.084582,13.000000,47.494020,63.920000,44.126802,11.759494,19.208083
54.907283,75.775461,161.252561,161.899872,47.038724,56.515009,59.159240,12.768153,158.523664,1.067141,76.407283,55.545361,160.258126,160.556395,156.705459,159.468604,75.369541,158.756426,0.001842,-1.797059,32.000000,-237.239213,159.552243,0.326824,15.137763,0.690515,271545.097786,0.920646,30.583697,33.637210,2.936790,67.070692,61.535010,94.092784,13.000000,47.493721,63.920000,44.143790,11.759494,19.211607
54.904485,75.793851,161.262122,161.920132,47.001253,56.515230,52.530786,12.768953,158.515648,1.067157,76.427789,55.545612,160.279181,160.544866,156.729750,159.456966,75.362985,158.746901,0.001860,-1.797048,32.000000,-237.238607,159.542031,0.326169,15.138823,0.690725,271527.179370,0.923637,30.604748,33.638856,2.936716,67.068263,61.528291,94.101066,13.000000,47.508074,63.920000,44.163762,11.759494,19.215893
54.903224,75.809298,161.271893,161.937206,47.105023,56.515542,59.297043,12.768773,158.507296,1.067049,76.444513,55.545875,160.296424,160.535729,156.750641,159.449950,75.356936,158.738513,0.001875,-1.797031,32.000000,-237.238859,159.532202,0.326763,15.129745,0.690969,271544.877604,0.923122,30.623514,33.637828,2.936816,67.065790,61.522955,94.108620,13.000000,47.520500,63.920000,44.178811,11.759494,19.219515
