Torad 40-Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday, March 26,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:14:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,,,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,Hz,Hz,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File,,
49.775284,59.983207,138.740697,144.872656,91.756283,97.856012,29.509601,14.185678,135.962397,1.479132,59.512406,50.756707,143.930609,139.268784,141.841645,136.375479,85.20194,134.990878,-0.000796,-1.850467,32,-235.822734,136.655365,-0.024334,24.428615,0.641356,407154.5237,0.90405,19.94913,12.939024,2.787352,13.483004,41.496044,165.139009,32,167.640977,175.176259,161.256881,168.603326,32,153.159252,67.745095,76.595813,89.144672,39.535,47.550911,68,67.634226,41.25,40.026726,59.524926,36.8163,,1,Spool,1,16.00.05-Tue.04.16.2019.csv
40.8141,49.893072,138.774777,148.730329,70.748796,79.755027,29.503617,14.169489,136.236891,2.963766,47.306826,41.720225,147.780263,139.488863,145.340845,136.764183,84.662536,135.851964,-0.000795,-1.90654,32,-235.838889,136.832596,-0.024362,24.060626,0.599321,309659.0624,0.843615,19.856364,13.895355,3.400152,13.555328,42.5067,169.006349,32,176.953633,180.036479,166.612919,174.514946,32,157.976901,67.810839,75.511215,89.574648,39.49,42.356259,59,58.7476,41.05,35.024419,59.525727,36.466693,,1,Spool,1,17.22.02-Tue.04.16.2019.csv
49.80115,60.121329,138.964689,144.139877,102.160084,97.650744,29.130986,14.219506,135.660611,3.26965,58.537591,50.872616,143.108252,139.548316,140.996128,136.179428,84.941307,134.67254,-0.000804,-1.917753,32,-235.788982,136.250429,-0.023431,24.411144,0.683985,433942.9782,0.974507,20.059726,13.046526,2.790399,1.033471,3.006904,161.295365,32,167.215462,172.837856,159.720849,167.152098,32,152.520916,69.606599,76.449737,88.463083,20.80977,37.190285,74,65.330248,18.4,64.892242,59.538814,36.902757,,1,Spool,1,13.13.44-Thu.04.18.2019.csv
49.802086,59.989442,138.918641,143.989699,102.176987,97.698249,29.134812,14.215566,135.619208,3.265328,58.382192,50.863632,142.9664,139.517658,140.864236,136.146475,84.952283,134.60021,-0.000803,-1.920695,32,-235.792888,136.201804,-0.023394,24.417505,0.68365,433964.303,0.974608,19.926533,12.999718,2.789419,1.025067,3.108,161.126886,32,167.054986,172.65836,159.529335,166.901311,32,152.363643,69.718917,76.425666,88.204823,20.80977,37.067159,74,65.37408,18.4,65.489156,59.542284,36.942594,,1,Spool,1,14.01.52-Thu.04.18.2019.csv
49.793297,79.818303,138.666194,163.824633,93.754553,91.767985,29.403806,14.319574,135.154136,3.348163,78.723389,50.60982,162.541342,139.463084,160.008891,135.789119,84.390546,134.566857,-0.000779,0.012799,32,-235.688903,135.831811,-0.023131,24.064039,0.685876,432164.8237,0.953967,39.764861,13.542421,2.784836,13.382402,42.591354,182.239564,32,188.545497,194.109752,181.255243,188.390398,32,172.870759,70.166003,76.319311,90.761281,43.506329,41.75589,59.523279,55.590857,21.4,45.860174,59.532645,36.709932,,1,Spool,1,11.57.08-Fri.04.19.2019.csv
49.816683,89.623577,139.927244,173.726596,91.156745,89.390847,29.095075,14.282543,136.438249,3.391151,88.943411,50.579296,172.215065,140.771222,169.333716,137.135229,90.076913,136.003872,-0.000779,-1.908672,32,-235.725922,137.134451,-0.02308,24.137274,0.688254,422735.6134,0.960687,49.539369,8.55199,2.808832,1.043916,1.266768,192.593224,32,199.570799,204.573768,191.612801,199.020149,32,183.345976,68.542372,83.579891,90.326272,0.133671,55.828747,59.523279,52.469194,25.838,46.238404,59.524634,36.707407,,1,Spool,1,16.47.02-Fri.04.19.2019.csv
83.894437,69.801014,83.982971,69.976495,0.37095,-0.344735,0,14.198421,83.371107,-0.028573,69.724053,83.920848,70.306318,82.746833,69.797107,83.487573,69.089718,83.883538,-0.000779,0.012912,31.92,-235.178972,82.810648,-0.023187,0.034948,-0.000697,NaN,NaN,1.229041,-0.429197,1.00006,0,0,70.075634,70.035913,70.183474,70.175141,70.1052,70.208931,31.92,70.088878,69.886197,69.34508,70.052016,0,0,0,0,0,0,-14.962618,-334.862475,,1,Spool,1,10.17.17-Wed.04.24.2019.csv
84.07677,70.000364,84.168862,70.157377,0.373661,-0.343572,0,14.237956,83.543592,-0.028637,69.895101,84.085124,70.613407,82.929515,70.133164,83.669276,69.252123,84.095111,-0.000807,0.012986,32,-235.764326,83.041877,-0.023251,0.045187,-0.001304,NaN,#NAME?,1.191668,-0.430714,1.001095,0,0,70.268352,70.221593,70.376347,70.363205,70.294017,70.398181,32,70.281384,70.058376,69.538403,70.249197,0,0,0,0,0,0,-15.000102,-335.701721,,1,Spool,1,10.27.30-Wed.04.24.2019.csv
49.823213,60.067174,138.988545,144.693881,103.736695,97.641639,29.440664,14.199416,135.944264,2.462168,59.035791,50.74354,143.69481,139.755078,141.529838,136.427519,97.125723,134.971822,-0.000771,-0.67558,32,-235.809122,136.545993,-0.023309,24.459665,0.682233,411280.3603,0.963747,19.982242,1.006615,2.789592,13.610538,15.903368,162.557872,32,167.607304,173.934878,160.516171,167.950796,32,153.112083,70.343653,76.334608,88.223378,0.047059,36.919154,65.658127,66.657425,27.443038,51.299594,59.555091,36.871994,,1,Spool,1,15.54.38-Wed.04.24.2019.csv
49.834103,59.829923,161.232647,157.295879,104.521082,95.750566,29.386651,14.193027,158.500265,2.779133,58.340864,50.661479,156.162971,162.293329,153.902613,159.086238,107.445215,157.850563,-0.00077,-1.744716,32,-235.81544,159.151118,-0.023102,27.726827,0.675897,384588.8522,0.945948,19.735586,1.169628,3.23535,13.249381,15.006571,181.958741,32,185.81828,193.039348,175.732762,185.189877,32,167.633923,71.259374,82.613572,94.887983,41.669771,54.424395,65.658127,43.685521,27.443038,61.344417,59.597121,40.557583,,1,Spool,1,17.55.01-Wed.04.24.2019.csv
49.785177,59.999728,185.801567,169.886551,104.267462,92.813356,29.404887,14.184993,182.873287,4.735864,56.609112,50.60262,169.072345,186.951325,166.567131,183.529127,117.517865,182.482567,-0.000759,-1.612035,32,-235.823448,183.33021,-0.023041,31.226238,0.65342,355580.8372,0.917814,19.955108,1.179344,3.73215,15.498439,17.709261,196.649008,32,205.869982,210.309451,188.031053,200.390334,32,183.222749,71.421099,86.577347,102.334121,61.563165,53.991301,42.113924,59.307651,30.585272,64.809775,59.630452,44.244742,,1,Spool,1,19.25.01-Wed.04.24.2019.csv
49.767141,60.022628,118.98366,132.264101,112.395639,99.041731,29.380073,14.169452,114.559616,3.258719,58.719252,50.72207,131.416309,119.235678,129.243877,114.705768,86.104908,112.702078,-0.000754,-2.088813,32,-235.839061,114.83015,-0.023004,21.343186,0.672509,437519.7461,0.980745,19.996392,0.450481,2.390877,13.188326,17.793689,146.866834,32,151.140941,156.531012,146.188837,152.136945,32,138.621604,70.408392,76.663351,79.985576,0,58.756281,100,71.860086,22.455696,41.147476,59.547719,33.834785,,1,Spool,1,00.40.22-Thu.04.25.2019.csv
49.973201,60.096113,101.368047,120.690502,104.175852,100.773096,29.387538,14.186467,96.428356,2.175827,59.49282,50.983548,119.934592,101.081708,117.8256,96.575062,75.070652,94.045077,-0.000765,0.013733,32,-235.82196,96.851104,-0.02316,18.191943,0.649509,466004.7877,0.993176,19.856675,0.374153,2.028437,1.051252,1.704214,133.0082,32,135.401416,139.469908,132.724109,136.734595,32,124.971146,68.216841,63.414106,73.185522,37.253165,34.525549,84,92.016048,22.4,59.603193,59.54481,30.465918,,1,Spool,1,11.23.35-Thu.04.25.2019.csv
49.834035,59.833216,85.95341,110.063477,105.899093,100.983222,29.50209,14.184904,79.415687,1.538242,59.506662,50.842242,109.446441,84.50569,107.426442,79.428628,63.337756,76.414482,0.000056,0.013495,32,-235.823528,79.867348,-0.023223,15.210335,0.59788,174284.1962,0.993712,19.738946,-0.0477,1.724823,1.041316,1.608844,120.847335,32,122.218745,125.499466,120.918579,123.422617,32,113.449125,68.444318,59.429601,63.800525,0,59.303522,90,97.239764,25.4,52.89328,59.582366,27.347207,,1,Spool,1,12.54.58-Thu.04.25.2019.csv
