Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,,,,
49.887877,70.141257,139.061874,450.261206,98.950264,95.79994,29.213202,14.235129,138.493807,1.619323,69.637086,16.24638,149.82555,139.235128,147.799162,138.822651,81.294738,137.270039,-0.000538,0.029621,32,-235.773677,138.857636,-0.024464,24.317643,0.691364,444770.9812,0.976446,29.982039,17.951394,2.7872,0.071728,0.032058,175.685793,32,190.881246,-14916.7743,177.663803,159.360062,32,155.170947,69.524407,66.937695,91.135459,100,23.973229,56.468354,0,47.350636,21.227848,0,34.813253,29.213202,36.71671,59.472251,0,0,0,0.377,5.36,0,0.091203,0.857511,0,0,0,0,-0.153,7.656,0,-0.287,0.28747,0,0.15,1.2,0,-0.0561,0.350752,,,1,Spool-0081-MixTest,1,13.11.10-Tue.12.03.2019.csv
49.783489,75.004212,138.913943,617.099039,97.519986,94.03026,29.185329,14.232289,138.16775,1.618844,73.130284,26.695903,156.005008,139.247084,154.182543,138.598681,81.345198,137.144778,-0.000547,0.029627,32,-235.776334,138.649133,-0.024429,24.289713,0.688876,442404.7873,0.972882,34.947879,17.837034,2.789698,0.079725,0.032154,182.319886,32,197.699597,191.571423,184.039838,165.589757,32,160.865078,69.648374,67.013277,91.547793,82.964604,25.611277,56.468354,0,45.499899,21.227848,0,39.165025,29.185329,36.676281,59.484666,0,0,0,0.377,5.36,0,0.091203,0.87,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,14.12.24-Tue.12.03.2019.csv
49.83148,80.03386,138.964041,459.32905,96.346225,92.732567,29.181008,14.23374,138.216838,1.610454,78.458067,30.778077,160.595156,139.352164,158.540943,138.684665,80.966264,137.241178,-0.000534,0.029725,32,-235.774882,138.738625,-0.024336,24.254846,0.688869,443003.3729,0.97106,39.93799,18.264415,2.788631,0.085462,0.030233,187.142294,32,202.72589,247.572334,189.204986,170.509138,32,165.893549,69.602631,66.577026,92.033893,82.964604,23.346928,56.468354,0,44.83032,21.227848,0,33.104682,29.181008,36.650361,59.487506,0,0,0,0.377,5.36,0,0.091203,0.877212,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,14.44.12-Tue.12.03.2019.csv
49.812637,85.028593,138.955375,560.935404,94.853862,91.487925,29.17471,14.234909,138.204088,1.603664,83.604538,33.950727,165.61192,139.42,163.443637,138.659087,81.033513,137.284498,-0.000525,0.029434,32,-235.773617,138.743584,-0.024324,24.269224,0.687983,442884.2144,0.970258,44.945134,18.219001,2.789185,0.090058,0.02793,192.58012,32,208.350356,250.388458,194.897746,175.763107,32,171.150399,69.682023,66.968305,92.412143,82.964604,22.98574,56.468354,0,44.007775,21.227848,0,30.130323,29.17471,36.644698,59.490766,0,0,0,0.377,5.36,0,0.091203,0.896885,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,15.13.18-Tue.12.03.2019.csv
49.816081,90.017741,138.942311,460.160349,93.506002,90.343514,29.169719,14.235431,138.223825,1.60136,88.75026,42.151304,170.661266,139.441123,168.377713,138.59512,80.870114,137.278815,-0.000513,0.029429,32,-235.773064,138.712851,-0.024273,24.290151,0.68718,443482.6565,0.969766,49.940268,18.381103,2.789181,0.090621,0.022752,197.992126,32,213.902404,-22276.65141,200.412071,181.056317,32,176.505755,69.653073,67.12251,92.978065,82.964604,21.999337,56.468354,0,43.419964,21.227848,0,26.854977,29.169719,36.668852,59.492502,0,0,0,0.377,5.36,0,0.091203,0.897,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,15.35.44-Tue.12.03.2019.csv
49.844301,95.043219,138.996855,215.513079,92.339611,89.278118,29.172237,14.236579,138.242429,1.59526,94.016421,44.234197,175.463531,139.541247,173.033694,138.641928,80.676166,137.375402,-0.000515,-1.189862,32,-235.771904,138.80949,-0.02427,24.320457,0.686235,444371.7387,0.969602,54.936057,18.618137,2.788563,0.091159,0.019559,203.130658,32,219.137699,-11182.22945,205.655718,186.069661,32,181.702287,69.679363,67.158878,93.206133,73.751293,20.140901,56.468354,0,43.049569,21.227848,-5.8,23.189315,29.172237,36.710042,59.492962,0,0,0,0.377,5.36,0,0.091203,0.897,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,15.53.05-Tue.12.03.2019.csv
49.611349,59.91273,138.52167,501.48431,101.147402,98.007294,29.212478,14.24057,137.736366,1.493256,56.978031,31.746364,143.582079,138.695595,142.635732,138.072341,82.667098,136.548227,-0.000512,-1.629529,32,-235.768111,138.21144,-0.024265,24.334805,0.688976,439571.8125,0.979064,20.049937,16.225655,2.792114,0.066637,0.028033,168.649066,32,183.467986,1.86587,149.561409,150.51646,32,146.072172,69.70748,68.763194,90.506065,60.506329,31.5839,56.468354,0,47.936508,25.227848,0,41.016907,29.212478,36.640359,59.481274,0,0,0,0.377,5.36,0,0.091203,0.897,0,0,0,0,-0.153,7.656,0,-0.287,0.27,0,0.15,1.2,0,-0.0561,0.35,0.01,,1,Spool-0081-MixTest,1,16.29.33-Tue.12.03.2019.csv
49.742141,60.019146,139.156843,143.429766,102.470494,98.910012,29.189777,14.157027,138.429386,1.235404,58.466796,2.5429,142.145814,139.155232,140.642703,138.772885,81.449528,137.139432,-0.000514,0.029871,32,-235.851888,138.886756,-0.024581,24.729123,0.685596,446014.2589,0.986096,20.022844,17.731759,2.797865,0.073764,0.028972,167.102629,32,183.111649,239.307989,168.873363,150.366687,32,145.972579,68.897531,66.12362,91.009826,64.594937,79.366979,55.139241,0,51.530027,23.772152,0,34.797795,29.189777,37.077853,59.489093,0,0,0,0.377,5.36,0,0.091203,0.89,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.358622,0.01,,1,Spool-0081-MixTest,1,14.41.36-Thu.12.05.2019.csv
49.785441,70.070512,139.134246,152.880841,97.959486,95.322226,29.204125,14.159886,138.441921,1.13055,69.584354,22.694931,151.298179,139.221378,149.326592,138.811998,80.476865,137.266493,-0.00053,0.029892,32,-235.848601,138.969909,-0.024613,24.248425,0.691773,443970.2995,0.97397,30.025692,18.765081,2.794736,0.077162,0.02738,177.045473,32,192.166477,195.064956,179.078325,160.61857,32,156.098208,68.991872,64.922453,92.039076,69.428117,47.305766,54.139241,0,53.77065,18.772152,0,47.877905,29.204125,36.580165,59.485296,0,0,0,0.377,5.36,0,0.091203,0.89,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.326652,0.01,,1,Spool-0081-MixTest,1,16.27.40-Thu.12.05.2019.csv
49.765164,80.027094,138.903601,162.97578,95.915169,92.571105,29.187473,14.173693,138.089327,1.291605,79.062651,28.840187,161.244096,139.119861,159.150173,138.520139,80.118944,137.078459,-0.000526,0.029843,32,-235.834883,138.672153,-0.024436,24.221119,0.689404,443729.9086,0.970275,40.006218,19.032343,2.791448,0.088751,0.025084,187.756905,32,203.210164,201.201755,190.012587,170.948327,32,166.273318,69.076489,64.746252,92.876281,69.428117,41.708165,54.139241,0,52.272347,18.772152,0,42.376548,29.187473,36.563726,59.496131,0,0,0,0.377,5.36,0,0.091203,0.89,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.32,0.01,,1,Spool-0081-MixTest,1,17.14.42-Thu.12.05.2019.csv
49.819148,60.001206,138.606555,142.466222,102.411261,98.795827,29.220404,14.358584,137.878801,1.137002,58.753515,10.186305,141.14908,138.605643,139.599352,138.177809,82.999173,136.58037,-0.000507,0.02993,32,-235.650294,138.358771,-0.024402,24.33893,0.691874,442536.292,0.98216,19.922084,15.90953,2.782263,0.068523,0.027584,165.713078,32,180.396078,-103.69985,167.423471,149.011944,32,144.945563,68.890131,69.209999,89.808886,83.978065,31.848443,55.696203,0,52.44342,23.493671,0,35.807055,29.220404,36.625942,59.473851,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.35,0,,1,Spool-0081-MixTest,1,13.41.36-Sat.12.07.2019.csv
49.801004,70.042463,138.980391,154.026412,99.105219,95.552936,29.20766,14.349165,138.169661,1.161316,69.117971,8.562612,151.291441,139.055504,149.437468,138.582795,81.884349,137.013678,-0.000507,0.030071,32,-235.659593,138.741491,-0.02431,24.282602,0.691485,442457.443,0.976087,29.984517,17.237265,2.79095,0.076412,0.027957,177.033021,32,192.149111,118.727014,178.80034,160.306314,32,155.838545,68.938448,67.460684,91.110614,83.978065,24.705628,55.696203,0,50.723313,21.493671,0,38.299133,29.20766,36.532046,59.476945,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.35,0,,1,Spool-0081-MixTest,1,14.24.04-Sat.12.07.2019.csv
49.786692,80.050121,138.999031,168.37013,96.116689,92.605917,29.181221,14.340944,137.904562,1.216859,79.284639,24.588614,160.993438,138.977432,158.834172,138.352844,81.242976,136.94102,-0.000507,0.030083,32,-235.667707,138.549867,-0.024223,24.194286,0.690509,441938.2859,0.970583,39.999822,17.842663,2.791616,0.088935,0.025681,187.525607,32,202.85838,-1043.632695,189.599337,170.685899,32,166.156812,68.973735,66.89158,92.058864,83.978065,22.325754,55.696203,0,49.093063,19.493671,0,41.141293,29.181221,36.442815,59.479259,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.3,0,0.15,1.2,0,-0.0561,0.35,0,,1,Spool-0081-MixTest,1,15.02.45-Sat.12.07.2019.csv
49.792454,60.096768,139.017562,150.737073,101.218577,98.893187,29.208676,14.23589,138.32548,1.223604,59.403744,15.009534,141.451358,138.950028,139.84085,138.672834,82.116213,137.019387,-0.000532,0.029848,32,-235.772684,138.852529,-0.024661,24.622148,0.687172,444765.2812,0.984775,20.048791,17.007617,2.792216,0.075373,0.031637,166.323445,32,182.2169,86.527612,167.594754,149.943754,32,145.61112,68.384253,67.225339,90.333523,100,31.758392,57.43038,0,47.221271,20.5,0,50.837867,29.208676,36.822191,59.480247,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.271707,0,0.15,1.2,0,-0.0561,0.35,0,,1,Spool-0081-MixTest,1,13.40.33-Mon.12.09.2019.csv
