Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.88429,48.58267,199.382414,163.467554,166.626154,165.209963,148.755226,14.229857,190.601922,18.960887,48.115109,49.867414,162.148617,201.204631,160.281205,193.327439,116.697948,186.96232,-0.068342591,0.038453,96.909771,66.235989,184.053423,17.755738,36.10589538,1.022424727,611064.7769,0.860727,8.430445,3.722171,3.996934,0.065052,0.058404,32,126.149834,32,32,32,32,32,32,69.760847,62.829815,107.64557,100,26.990667,42.088608,39.972397,40.815971,52.379747,52.093069,52.379747,148.755226,113.070336,,149.277318,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.10.40-Mon.03.09.2020.csv
49.799595,48.594951,199.268511,163.345177,166.446053,165.012882,148.76633,14.229428,190.560881,18.951222,48.09967,49.773919,162.053269,201.105646,160.181803,193.2755,116.689386,186.877388,-0.066377309,0.038454,95.402198,66.082087,183.977051,17.728086,36.08612013,1.022941091,610502.4183,0.861249,8.536169,3.696421,4.001428,0.065095,0.058605,32,125.206813,32,32,32,32,32,32,69.856474,62.565439,107.796543,100,26.501356,42.088608,39.963854,40.815971,52.379747,52.029826,52.379747,148.766329,112.968053,,149.303851,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.183693,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.13.22-Mon.03.09.2020.csv
49.803847,48.786671,199.400874,163.411045,166.09557,164.957187,148.796448,14.229204,190.710372,18.984981,48.358086,49.765792,162.093091,201.233277,160.19357,193.390628,116.742499,187.046603,-0.068623345,0.038523,95.44484,66.073803,184.061472,17.80558,36.09521988,1.023242182,610523.7393,0.861183,8.718153,3.70873,4.003598,0.064877,0.058515,32,124.738179,32,32,32,32,32,32,69.913042,62.561603,107.479919,100,26.380213,42.088608,39.964623,40.815971,52.379747,51.98915,52.379747,148.796447,113.055618,,149.319223,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.16.03-Mon.03.09.2020.csv
49.816652,49.0113,199.480711,163.520431,166.222232,164.949323,148.75173,14.229881,190.8583,19.004095,48.609238,49.797315,162.188592,201.343751,160.283404,193.528987,116.815378,187.179479,-0.069746363,0.038457,94.262824,66.122315,184.160312,17.796026,36.10593388,1.023728,610742.1232,0.86171,8.931792,3.688159,4.004237,0.064734,0.058442,32,124.527534,32,32,32,32,32,32,69.737789,62.674521,107.13706,100,26.765053,42.088608,39.963357,40.815971,52.379747,51.966139,52.379747,148.75173,113.033808,,149.273148,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.18.50-Mon.03.09.2020.csv
49.767299,48.867289,199.29771,163.43299,166.102138,164.95368,148.797904,14.230419,190.688538,18.964945,48.368548,49.748222,162.12989,201.160319,160.246708,193.364847,116.731735,187.011886,-0.069044477,0.038301,94.372822,66.051412,184.03593,17.695607,36.0869795,1.024109091,610771.0949,0.861995,8.84035,3.706633,4.004607,0.065004,0.058177,32,124.183573,32,32,32,32,32,32,69.721415,62.677275,107.07172,100,26.862072,42.088608,39.966528,40.815971,52.379747,51.948427,52.379747,148.797903,112.998069,,149.369417,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.22.04-Mon.03.09.2020.csv
49.752063,49.093022,199.353565,163.543578,165.86715,164.750207,148.776474,14.231107,190.725023,18.978663,48.687759,49.734375,162.234247,201.217517,160.33579,193.391959,116.738751,187.075497,-0.0689041,0.038224,93.362282,66.025254,184.0325,17.767333,36.08053075,1.024210909,610502.7552,0.861937,9.080451,3.724633,4.006905,0.062373,0.056358,32,123.777648,32,32,32,32,32,32,69.846131,62.667773,107.265324,100,26.282436,42.088608,39.991099,40.815971,52.379747,51.922468,52.379747,148.776473,113.026132,,149.285743,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.34.35-Mon.03.09.2020.csv
49.735186,49.072413,199.388711,163.544493,166.087306,164.667237,148.774158,14.230778,190.737683,18.986591,48.690595,49.710363,162.230344,201.26926,160.315482,193.39481,116.736071,187.069913,-0.068623345,0.037671,92.946075,65.997797,184.053365,17.802091,36.085764,1.023892364,610172.1214,0.861782,9.075058,3.731024,4.009007,0.060306,0.054613,32,123.6831,32,32,32,32,32,32,69.893964,62.353441,107.142457,100,25.61236,42.088608,40.016139,40.815971,52.379747,51.923502,52.379747,148.774158,113.043939,,149.317728,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.4,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.37.18-Mon.03.09.2020.csv
49.545987,49.740889,199.340271,163.532745,178.286451,176.150862,158.77262,14.249491,190.088126,18.979751,49.433603,49.589277,162.267053,201.114192,160.338386,192.71358,116.245284,185.535607,-0.068482968,0.038123,100.951246,65.305636,183.404576,17.923807,38.436827,1.033853091,656136.2419,0.869181,9.945454,3.629054,4.023418,0.062464,0.057593,32,123.24291,32,32,32,32,32,32,70.15625,63.545858,106.528448,100,29.269445,44.088608,45.819794,41.815971,56.379747,53.090276,56.379747,158.772619,114.232539,,159.105741,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.553,0.2,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,15.27.24-Mon.03.09.2020.csv
49.636012,49.373134,199.365521,163.082984,179.286732,176.738657,158.793704,14.258482,190.097212,18.965887,48.997653,49.684601,161.852784,201.11338,159.938631,192.724904,116.323287,185.436245,-0.067500327,0.038436,101.434818,65.422348,183.450141,17.88422,38.45481681,1.033988364,657076.9123,0.869255,9.483942,3.513481,4.016626,0.062577,0.057455,32,123.084313,32,32,32,32,32,32,70.128684,63.389534,106.565662,100,29.256051,44.088608,45.917569,41.815971,57.282688,55.527432,58.190041,158.793705,114.250716,,159.137994,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.553,0.717206,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,15.48.24-Mon.03.09.2020.csv
49.55003,49.424771,199.142241,161.75423,202.800306,189.106875,168.823216,14.421255,189.346961,18.895645,48.915425,49.778949,160.509959,200.658497,158.503796,191.820257,115.713913,183.664643,-0.06735995,0.038196,75.249744,64.576665,182.666004,17.627312,40.60801594,1.048654545,705456.3734,0.876671,9.626061,3.438981,4.019137,0.064321,0.059654,32,118.34162,32,32,32,32,32,32,70.036316,68.311039,105.434548,100,36.161554,43.037975,49.589511,53.101266,60.746835,58.607538,60.708861,168.823216,115.178501,,169.240681,0.377,0.879,0,0.577,0.779,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.8,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.27.30-Tue.03.10.2020.csv
