Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,Speed2,Power2,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Hz,kW,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.798404,59.995016,139.404303,142.013158,121.250519,98.787774,29.163215,14.195165,134.252259,5.434226,57.081242,50.788388,141.372904,140.011771,138.718446,134.397912,96.092383,132.508016,-0.000756,0.009818,32,-235.813457,134.313201,-0.315543,24.569929,0.689393,417929.5639,0.984598,19.935267,0.833792,2.799319,10.986698,10.100885,165.455193,32,181.188548,164.934426,160.773743,148.819813,32,144.320064,68.423233,60.835312,90.104174,18.590676,47.464103,61.368169,60.033003,18.468354,8.260355,59.56298,36.731925,,1,Spool-0081,1,17.52.11-Mon.05.06.2019.csv
58.284617,65.498028,134.714674,137.98647,126.645332,107.434055,27.045713,13.841426,130.502816,0.238348,65.731233,59.103509,137.199625,135.595362,134.840557,130.517135,92.759389,128.197918,-0.000736,-0.021477,31.2,-229.916759,130.878238,-0.306043,23.13326,0.629323,NaN,Inf,17.304252,1.227785,2.283453,11.736578,11.846729,159.178795,33.768583,171.517246,160.564705,155.218565,143.922329,31.2,139.750724,66.811754,61.483902,87.592904,23.818419,52.558931,77.403297,66.721409,14.625864,13.938038,54.329888,34.429191,,1,Spool-0081,1,18.17.21-Mon.05.06.2019.csv
60.172636,70.213173,138.844628,136.088859,132.077949,119.479968,29.162981,14.242339,129.81986,14.808187,65.063558,61.584165,135.514277,138.836001,132.581015,130.102774,93.483023,126.814542,-0.000775,0.010014,32,-235.76618,129.055149,-0.575468,24.918162,0.668067,519808.3169,0.992606,20.178465,0.588591,2.307433,0.095313,0.084545,155.587023,32,170.463389,157.613729,150.210974,142.728965,32,138.068127,67.980091,61.344284,87.89204,0,45.148015,90.632911,70.067165,24.341772,35.636143,59.55584,37.084241,,1,Spool-0081,1,13.20.55-Tue.05.07.2019.csv
56.401729,65.818262,130.121294,127.677952,123.683156,112.010052,27.324828,13.340486,122.004233,13.702042,61.096468,57.744081,127.144489,130.41191,124.396388,122.258895,87.741092,119.183348,-0.000714,-0.071205,29.984,-220.91749,121.291204,-0.539081,23.384375,0.625239,487004.9549,0.930284,18.918573,0.585761,2.161717,0.088565,0.078978,145.940573,29.984,159.994534,147.821106,143.991411,133.940919,29.984,129.57081,63.653653,57.612998,82.393332,0,42.241077,84.923038,65.047253,22.808241,34.860889,55.803382,34.797307,,1,Spool-0081,1,13.44.58-Tue.05.07.2019.csv
33.157403,40.278204,139.016745,151.952657,84.448653,65.756803,29.18511,14.218781,136.446408,3.524146,32.974191,33.602089,151.090915,140.086724,148.064303,136.720663,97.560123,135.877706,-0.000752,-1.893705,32,-235.789612,136.665774,-0.575712,23.080925,0.680639,268268.2898,0.967254,20.231856,1.012937,4.192611,0.106751,0.087079,179.272248,32,196.677181,176.392457,180.051871,160.86834,32,156.273834,68.259063,60.251515,91.422589,25.196013,44.625109,8.060458,60.599455,23.794398,16.65388,59.544543,35.142472,,1,Spool-0081,1,15.46.43-Tue.05.07.2019.csv
26.647841,30.146499,138.90464,158.922866,71.207081,52.923435,29.201518,14.194552,137.079236,3.53073,18.352568,26.34655,157.627035,140.130132,154.029121,137.433742,97.912422,136.833628,-0.000756,-1.889347,32,-235.813839,137.349829,-0.595016,21.963962,0.662709,212332.4179,0.957319,20.114581,1.12098,5.212691,0.087344,0.081179,186.624843,32,197.971439,179.104565,181.685635,169.069056,32,163.237048,68.360712,59.355137,92.525378,28.196013,41.636769,11.140842,41.87474,18.794398,16.227428,59.541549,34.010411,,1,Spool-0081,1,16.51.45-Tue.05.07.2019.csv
49.790634,59.812256,138.840046,143.930391,114.596004,98.784894,29.164674,14.193161,134.940061,2.201887,59.119082,50.651763,143.133085,139.554933,140.89379,134.977668,96.691646,133.35546,-0.000725,-0.001005,32,-235.815263,135.334529,-0.681583,24.482223,0.688873,416570.9185,0.984214,19.763009,0.650644,2.788483,0.067899,0.068794,167.517701,32,182.855394,167.736964,164.764222,150.441777,32,145.822306,72.252636,63.917043,90.97473,21.772152,54.911506,51.869607,79.894111,31.735441,29.898242,59.601323,37.073805,40-100,1,Spool-0081,1,18.21.34-Mon.05.13.2019.csv
40.643028,49.580584,113.627624,116.95618,92.773359,80.459606,23.828682,11.594476,109.65565,4.858428,47.443655,41.4569,116.341479,114.147036,114.447285,109.78849,78.826323,108.365899,-0.000597,-0.000768,26.144,-192.662401,109.809862,-0.475954,20.044768,0.562768,340536.4649,0.804237,16.895868,0.414016,2.284151,0.055004,0.053604,136.288472,26.144,149.169179,135.974603,131.796232,122.472129,26.144,118.479954,59.040328,52.296584,74.231582,17.787848,45.823785,42.377469,65.369998,25.927856,26.800712,48.696319,30.344726,40-100,1,Spool-0081,1,18.42.04-Mon.05.13.2019.csv
49.795121,60.414774,161.213734,156.187901,114.658195,97.022857,29.094017,14.206397,157.733473,2.916294,58.990759,50.665455,155.28208,162.292874,152.866042,157.996787,107.121377,156.412014,-0.00074,-1.70413,32,-235.802161,158.109092,-0.322489,27.573136,0.690319,391034.715,0.970456,20.361451,0.870496,3.237548,0.081301,0.086016,184.251562,32,201.558164,182.038239,185.078297,164.229771,32,158.716415,72.233046,65.565304,98.724959,33.974684,53.084831,22.022113,85.608192,31.735441,43.345181,59.621595,40.289134,40-100,1,Spool-0081,1,20.50.56-Mon.05.13.2019.csv
46.897303,56.453111,151.866595,146.760843,107.817149,91.468067,27.43683,13.400519,148.643224,2.4902,55.229183,47.71746,145.981314,153.025703,143.662142,148.942738,100.999559,147.437558,-0.000694,-1.646549,30.176,-222.357634,149.044678,-0.291203,26.001426,0.650028,368061.4932,0.914811,18.743058,0.81061,3.053712,0.073802,0.082766,173.613162,30.176,188.897928,170.622409,173.473268,154.38441,30.176,149.253463,68.091703,61.853882,93.01404,32.038127,49.911871,20.766853,80.987324,29.926521,41.198016,56.223889,37.982879,40-100,1,Spool-0081,1,21.14.36-Mon.05.13.2019.csv
