OSU 80 -Ton Compressor Load Stand
40TonSpool_ze
J Singleton
Measured on:
Sunday, November 29, 2020
8:25:17 PM
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,Tecon,Pecon,Poil2,Moil2,Power,P_reactive,Shaft Power,Torque,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Encoder Speed,VFD Power,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,kVAR,kW,in-lb,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,RPM,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
37.219034,60.512105,150.345997,152.730051,96.778713,98.497408,59.669888,14.232711,149.796559,4.468734,60.512580,37.749077,150.812991,150.828143,149.534865,149.640149,121.796877,148.161931,-0.058308,-1.862720,32.025740,-235.818722,168.719713,4.240485,30.464462,12.517596,28.199635,1331.293963,20.622852,338496.444205,0.889446,20.059443,1.907896,4.039451,0.074922,0.052576,116.035715,92.683475,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.259036,71.082239,105.272000,60.253165,23.527337,0.000000,58.734177,62.816966,0.000000,60.000000,65.821209,0.195486,31.011321,105.508382,59.573196,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.180000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.600000,0.000000,11,1,40TonSpool_ze,1,13.20.07-Tue.12.01.2020.csv
37.201383,60.146749,150.652796,151.344482,79.443991,82.668872,49.680946,14.225669,150.426834,4.687530,60.372965,37.459196,148.636712,151.254908,146.928472,150.362422,121.598515,149.199882,-0.059239,-2.119017,32.025740,-235.824771,166.782303,4.444563,25.749069,9.319919,24.422877,1385.025384,17.322653,284019.185062,0.896209,19.696211,2.609518,4.049740,0.075483,0.052877,114.226457,91.012578,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.202653,70.874744,107.735687,60.253165,11.060906,0.000000,58.734177,44.907776,0.000000,53.791846,36.580505,0.212696,26.233476,81.449847,49.767124,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.174692,0.000000,0.020000,0.800000,0.000000,-0.020000,0.600000,0.000000,12,1,40TonSpool_ze,1,13.43.37-Tue.12.01.2020.csv
38.534055,62.513523,70.153921,103.402524,101.058486,103.430090,54.795083,14.216831,67.390430,4.140183,62.808291,39.527160,102.543866,67.773218,101.480594,66.343057,52.097314,62.544395,-0.060866,0.038016,32.025740,-235.833458,77.609510,3.903738,15.571420,6.573752,12.696649,652.832441,9.285315,489230.873235,0.984192,20.274747,16.411298,1.820282,0.075179,0.052883,92.577325,80.384066,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.719804,69.265383,67.676969,100.000000,18.362000,100.000000,100.000000,100.000000,13.000000,24.000000,23.557729,0.209263,16.744130,44.374397,54.641255,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.150000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.500000,0.000000,13 Best I can do,1,40TonSpool_ze,1,15.26.15-Tue.12.01.2020.csv
38.482027,61.730762,76.623224,107.470043,99.354317,102.712859,54.785519,14.225757,74.286130,4.151258,61.912770,39.059855,106.675398,74.524997,105.463148,73.313170,66.195828,70.135434,-0.058443,0.038046,32.025740,-235.824239,83.093258,3.921228,16.991912,7.268251,14.493877,745.317521,10.595921,457897.225613,0.977365,19.566105,9.001989,1.991257,0.074699,0.052470,94.067874,79.424013,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.689093,69.320818,73.795997,100.000000,45.542013,95.000000,81.954143,23.327841,13.000000,25.000000,38.180833,0.209189,18.122413,50.648352,54.667297,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.150000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.500000,0.000000,14,1,40TonSpool_ze,1,16.14.39-Tue.12.01.2020.csv
39.153015,62.673858,89.924301,116.072087,95.529046,103.018749,54.732609,14.233493,88.119913,4.387453,62.865784,39.519579,114.750992,88.193013,113.136471,87.244574,82.898292,84.928016,-0.060812,0.038381,32.025740,-235.816908,93.930589,4.153666,19.617127,8.211607,15.051043,774.657116,12.848468,428356.290799,0.965224,19.616093,3.875717,2.296574,0.075092,0.052702,95.954352,80.706995,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.987300,69.599580,83.021302,100.000000,22.670594,66.126582,64.120401,15.590268,14.000000,27.000000,43.281426,0.209566,20.581741,61.310477,54.711939,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.150000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.500000,0.000000,15,1,40TonSpool_ze,1,16.42.25-Tue.12.01.2020.csv
38.803094,62.258744,104.808318,126.491789,96.903870,100.785417,54.702733,14.240064,103.531264,4.194817,62.409854,39.171255,124.819194,103.752707,123.432775,102.812787,94.337920,101.104582,-0.059316,-1.945896,32.025740,-235.810682,104.691352,3.968175,22.133578,9.067558,20.104283,1035.413328,15.032125,397685.638443,0.953194,19.670545,3.470655,2.701180,0.074438,0.051874,102.089121,84.562316,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.827095,69.952036,91.180292,100.000000,17.297370,38.746835,64.120401,47.929312,20.000000,27.000000,33.708281,0.209194,22.979747,71.863997,54.718302,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.150000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.500000,0.000000,16,1,40TonSpool_ze,1,17.24.25-Tue.12.01.2020.csv
39.015647,62.496185,122.470089,135.124749,103.470804,100.411167,54.652594,14.322097,121.546263,4.831791,62.646849,39.519726,132.774671,121.857312,131.519428,120.995470,105.237769,119.875816,-0.060418,-1.766615,32.025740,-235.728816,118.492049,4.585118,24.872231,10.027384,23.329782,1202.651184,17.235389,376449.557705,0.945299,19.625385,3.810597,3.138846,0.074438,0.051882,104.732710,85.529541,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.857087,70.483808,97.451328,100.000000,15.846702,24.620253,73.011243,72.360416,20.886076,33.360267,35.086291,0.208266,25.568895,82.760896,54.685134,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.080101,0.690900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.008000,0.247036,0.000000,0.020000,0.800000,0.000000,-0.020000,0.686561,0.000000,17 not great,1,40TonSpool_ze,1,16.31.52-Wed.12.02.2020.csv
38.453710,61.777352,140.495590,146.267291,99.108699,97.171932,54.591403,14.330002,139.939757,4.388363,61.752381,38.952911,144.246353,140.499444,142.999460,139.574483,98.442557,139.035107,-0.059652,-1.803600,32.025740,-235.720888,130.350890,4.163986,27.389505,10.766531,25.722044,1327.434677,18.878677,376135.363620,0.928643,19.651478,20.776700,3.653661,0.075125,0.052204,112.320225,90.701007,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.239361,70.875327,102.955314,100.000000,16.266163,24.620253,54.176625,60.930663,17.886076,30.188046,28.505720,0.207426,27.921040,91.011514,54.629617,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.080101,0.690900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.180000,0.000000,0.020000,0.800000,0.000000,-0.022000,0.500000,0.000000,18 not great,1,40TonSpool_ze,1,18.08.38-Wed.12.02.2020.csv
38.508698,63.470987,161.870408,157.897631,94.111588,94.898773,54.563713,14.374369,161.335196,4.976731,63.411237,39.006898,154.880155,162.479555,153.471934,161.310748,125.104803,160.449061,-0.060553,-1.539822,32.025740,-235.676800,154.291362,4.730523,30.415404,11.640698,28.296436,1460.990653,20.502301,323274.816507,0.910021,21.283935,4.331907,4.204262,0.074012,0.051666,114.966542,92.774172,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.213897,73.398326,111.008060,100.000000,18.714174,15.000000,55.569620,49.659018,12.037879,47.470358,45.409787,0.209960,30.748513,97.653646,54.709945,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.070010,0.690900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.011591,0.250000,0.000000,0.020000,0.800000,0.000000,-0.022000,0.695455,0.000000,19 testing only tends,19,40TonSpool_ze,1,18.15.44-Thu.12.03.2020.csv
38.836297,61.233277,162.184387,156.695145,95.145748,95.104244,54.555093,14.375139,161.771581,4.833293,60.795040,39.066149,154.126494,162.807517,152.824488,161.608240,124.946975,160.696667,-0.062627,-1.541489,32.025740,-235.676021,154.470417,4.591192,30.508308,11.657212,29.496349,1523.269664,20.297489,321168.449948,0.898776,18.618481,4.586348,4.176605,0.073938,0.051630,115.614963,92.613025,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.269055,73.644938,110.007188,100.000000,19.024404,15.000000,55.569620,49.323956,13.000000,47.580206,45.522834,0.210156,30.823715,96.587706,54.706135,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.070010,0.690900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010754,0.317830,0.000000,0.020000,0.800000,0.000000,-0.028035,0.653915,0.000000,19 testing only tends,19,40TonSpool_ze,1,18.26.18-Thu.12.03.2020.csv
