Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, December 7, 2018
4:15:44 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.995666,76.907375,161.266482,164.127160,59.889922,56.456623,59.207476,12.976288,158.441882,1.522277,77.134575,55.638893,162.601724,160.561855,159.630008,159.279088,72.596721,158.738169,0.001933,0.013188,32.000000,-237.030597,159.397608,0.488407,15.201895,0.688169,275096.738468,0.922682,31.669514,36.404582,2.932455,69.235220,59.352841,95.799483,8.000000,42.117256,64.000000,39.655524,12.177215,20.994817
54.998378,76.906295,161.333503,164.128685,59.941513,56.456539,59.198507,12.976022,158.445851,1.522386,77.134052,55.640027,162.603455,160.564266,159.630593,159.285141,72.598277,158.743483,0.001931,0.013162,32.000000,-237.030798,159.400630,0.488123,15.208729,0.688124,275093.718988,0.922915,31.669750,36.402650,2.932240,69.234792,59.356149,95.801403,8.000000,42.145361,64.000000,39.655130,12.177215,20.997075
55.000967,76.905353,161.321805,164.130070,59.867668,56.469011,59.164385,12.976102,158.447478,1.666207,77.132875,55.643302,162.605353,160.567560,159.630615,159.287721,72.599576,158.747665,0.001931,0.013146,32.000000,-237.030687,159.388597,0.535955,15.206289,0.688323,275072.490024,0.922442,31.670573,36.402786,2.932349,69.234299,59.359046,95.803652,8.000000,42.161829,64.000000,39.653123,12.177215,20.999358
55.000180,76.904749,161.338764,164.130692,59.842035,56.477215,59.197760,12.975916,158.454008,1.397112,77.132146,55.641075,162.607210,160.569371,159.631191,159.288045,72.600690,158.751328,0.001953,0.013146,32.000000,-237.030957,159.407443,0.444052,15.204032,0.688241,275068.900043,0.922528,31.666890,36.403518,2.933423,69.233185,59.361936,95.806768,8.000000,42.171786,64.000000,39.651574,12.177215,21.001655
54.998474,76.904355,161.330683,164.131072,59.850318,56.477320,59.162468,12.975503,158.453826,1.383620,77.131700,55.640196,162.608207,160.570945,159.631758,159.289417,72.601410,158.752070,0.001933,0.013145,32.000000,-237.031402,159.405512,0.440853,15.210091,0.688424,275126.618465,0.923214,31.663466,36.404021,2.933072,69.232804,59.364033,95.808948,8.000000,42.172095,64.000000,39.653169,12.177215,21.003236
54.997814,76.903430,161.320669,164.132410,59.861300,56.477367,59.164010,12.976209,158.454865,1.383619,77.130803,55.639397,162.609419,160.572366,159.632339,159.289785,72.602474,158.752209,0.001927,0.013154,32.000000,-237.030656,159.405025,0.440620,15.206837,0.688699,275165.135947,0.922841,31.663616,36.404484,2.933422,69.232423,59.366865,95.812114,8.000000,42.168380,64.000000,39.654887,12.177215,21.005520
54.998408,76.902721,161.343949,164.133843,59.786395,56.477482,59.205921,12.975875,158.455487,1.383572,77.131192,55.636672,162.610335,160.572778,159.632794,159.287453,72.603199,158.750961,0.001928,0.013167,32.000000,-237.030918,159.403776,0.440789,15.216422,0.688421,275165.009483,0.923423,31.664859,36.404084,2.933367,69.232670,59.369199,95.816209,8.000000,42.182729,64.000000,39.654853,12.177215,21.007810
54.997838,76.902278,161.369722,164.135343,59.714917,56.477556,59.197255,12.976188,158.455896,1.383573,77.131114,55.635575,162.611160,160.573038,159.633016,159.286609,72.603865,158.750532,0.001949,0.013174,32.000000,-237.030643,159.403149,0.440723,15.211668,0.688530,275163.920606,0.923410,31.664566,36.403080,2.933220,69.233128,59.370921,95.819744,8.000000,42.218020,64.000000,39.654954,12.177215,21.010152
54.997243,76.901925,161.379937,164.136026,59.711704,56.477635,59.197086,12.975493,158.454354,1.383535,77.130870,55.634090,162.611713,160.572918,159.633194,159.285134,72.604833,158.749012,0.001932,0.013165,32.000000,-237.031284,159.401115,0.440841,15.215100,0.688184,275162.979089,0.922746,31.663289,36.401817,2.933611,69.233527,59.372570,95.821941,8.000000,42.218094,64.000000,39.655648,12.177215,21.011715
54.996297,76.901184,161.360452,164.136849,59.769956,56.477692,59.208020,12.974474,158.454185,1.383526,77.130392,55.631799,162.612016,160.570539,159.633370,159.281377,72.606045,158.748113,0.001927,0.013164,32.000000,-237.032380,159.398666,0.440913,15.222060,0.688507,275162.348441,0.922891,31.663393,36.400967,2.934110,69.234684,59.374082,95.824602,8.000000,42.235245,64.000000,39.656966,12.177215,21.014023
54.994054,76.900503,161.345921,164.137408,59.768542,56.471497,59.191767,12.974115,158.454203,1.383594,77.129996,55.630492,162.612679,160.569023,159.634231,159.278776,72.607447,158.748427,0.001925,0.013149,32.000000,-237.032853,159.398635,0.440730,15.218927,0.688406,275161.409984,0.922905,31.663609,36.399344,2.934328,69.235471,59.375124,95.827996,8.000000,42.224837,64.000000,39.658774,12.177215,21.016338
54.995277,76.900095,161.324557,164.138094,59.800732,56.459267,59.176658,12.973468,158.452729,1.527656,77.129992,55.631913,162.614094,160.566589,159.635071,159.279193,72.609498,158.747280,0.001925,0.013160,32.000000,-237.033538,159.389711,0.488719,15.218575,0.688021,275160.180051,0.922752,31.663777,36.397745,2.934024,69.236641,59.377049,95.831969,8.000000,42.209575,64.000000,39.659728,12.177215,21.018680
54.994289,76.899790,161.347235,164.138304,59.749183,56.451268,59.211312,12.973064,158.457057,1.336628,77.130158,55.628721,162.615007,160.566515,159.635396,159.280096,72.610990,158.745603,0.001930,0.013171,32.000000,-237.033917,159.411307,0.419058,15.212026,0.688058,275128.478111,0.922943,31.665249,36.396477,2.933879,69.237129,59.378516,95.835022,8.000000,42.216260,64.000000,39.660313,12.177215,21.020233
