Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Friday, August 31, 2018
3:30:15 PM

2
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2
F,F,F,F,F,F,F,psia,psia,psia,psia,psia,psia,psia,psia,psia,lb/min,lb/min,lb/min,lb/min,lb/min,lb/min,psia,rpm
-0.779719,19.898184,0.439399,84.360512,-0.900448,-1.247058,0.000000,0.000000,0.189041,-0.725410,19.907689,-250.001865,19.691430,0.435779,19.725798,0.364476,19.701249,0.359122,0.051375,-0.524826,-0.587053,0.662200,-2.609122,0.979728
-0.778377,19.898210,0.440210,84.360512,-0.900062,-1.246731,0.000000,0.000000,0.189109,-0.721701,19.907650,-250.001900,19.691393,0.435881,19.725777,0.363928,19.701340,0.358463,0.051352,-0.525331,-0.588377,0.661700,-2.608958,0.979725
-0.775997,19.898257,0.440017,33.539929,-0.900180,-1.245304,0.000000,0.000000,0.189343,-0.721533,19.907829,-250.001808,19.691605,0.435340,19.726007,0.363994,19.701485,0.359770,0.051334,-0.525102,-0.587138,0.662158,-2.609171,0.979724
-0.775072,19.898282,0.439456,8.129638,-0.897335,-1.245423,0.000000,0.000000,0.189704,-0.725449,19.907860,-250.001711,19.691512,0.434529,19.725972,0.364164,19.701499,0.359824,0.051952,-0.526066,-0.587715,0.662477,-2.608909,0.979726
-0.775208,19.898292,0.440030,8.129638,-0.899697,-1.245602,0.000000,0.000000,0.189794,-0.725853,19.907888,-250.001683,19.691453,0.433991,19.725863,0.364035,19.701400,0.359427,0.051952,-0.526456,-0.587717,0.662487,-2.608892,0.979732
-0.775846,19.898303,0.438705,8.129638,-0.902145,-1.244472,0.000000,0.000000,0.190513,-0.722015,19.907937,-250.001647,19.691473,0.433839,19.725818,0.364146,19.701310,0.358931,0.051953,-0.526134,-0.587207,0.661886,-2.608745,0.979729
-0.778988,19.898315,0.439143,33.539929,-0.900040,-1.244056,0.000000,0.000000,0.191026,-0.721518,19.907814,-250.001657,19.691241,0.433894,19.725725,0.364410,19.701106,0.357654,0.051975,-0.527511,-0.586894,0.662812,-2.608450,0.979720
-0.779616,19.898325,0.438509,33.539929,-0.902363,-1.243521,0.000000,0.000000,0.190835,-0.724416,19.907587,-250.001687,19.691190,0.434055,19.725789,0.363746,19.700919,0.357868,0.051972,-0.527465,-0.587944,0.663875,-2.608351,0.979717
-0.779711,19.898348,0.439289,58.950221,-0.904689,-1.242986,0.000000,0.000000,0.190557,-0.724466,19.907464,-250.001678,19.691360,0.434568,19.725857,0.364495,19.700925,0.357418,0.051991,-0.528039,-0.587110,0.663958,-2.608810,0.979711
-0.779376,19.898371,0.438889,84.360512,-0.902760,-1.243669,0.000000,0.000000,0.189906,-0.721436,19.907472,-250.001606,19.691331,0.435237,19.726002,0.364699,19.700896,0.357201,0.051979,-0.528659,-0.587523,0.663932,-2.608925,0.979717
-0.777193,19.898423,0.439230,58.950221,-0.904868,-1.243283,0.000000,0.000000,0.189682,-0.721233,19.907338,-250.001657,19.691271,0.434358,19.725916,0.364851,19.701033,0.358124,0.051782,-0.528682,-0.587458,0.664745,-2.609040,0.979719
-0.775588,19.898444,0.438381,33.539929,-0.903342,-1.243313,0.000000,0.000000,0.188894,-0.721343,19.907496,-250.001611,19.691224,0.434560,19.725839,0.364558,19.700924,0.359381,0.051779,-0.529485,-0.586663,0.664513,-2.609384,0.979720
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
