Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Friday, August 31, 2018
3:23:57 PM

2
Test Comments:

Measurements:
Tsuc,Tdis,Tdis2,T04,T05,Tsuc2,T07,Psuc,Pdis,Pdis2,P04,P05,Psuc2,P07,Poil,Poil2,Mdis,M03,M04,Msuc,Moil,Moil2,Pamb,Speed
F,F,F,F,F,F,F,psia,psia,psia,psia,psia,psia,psia,psia,psia,lb/min,lb/min,lb/min,lb/min,lb/min,lb/min,psia,rpm
313.053133,19.721745,-250.001293,0.199686,-1.237575,0.343387,-0.727439,19.891034,19.688157,0.658368,-2.599287,0.051409,0.314100,0.979805,0.441295,0.000000,19.907453,-0.540546,-0.896599,19.696525,0.452676,0.000000,-0.761712,-0.582416
287.642842,19.721856,-250.001288,0.199309,-1.237813,0.342962,-0.723841,19.891053,19.688087,0.658628,-2.599828,0.051399,0.313594,0.979806,0.440943,0.000000,19.907391,-0.540775,-0.899755,19.696579,0.453041,0.000000,-0.762138,-0.582981
262.232550,19.721965,-250.001295,0.200072,-1.237575,0.343711,-0.720128,19.891071,19.688115,0.659013,-2.599975,0.051413,0.312296,0.979809,0.441725,0.000000,19.907470,-0.541050,-0.903860,19.696633,0.452554,0.000000,-0.762236,-0.582871
236.822259,19.722049,-250.001282,0.199809,-1.236891,0.343800,-0.722101,19.891089,19.688199,0.658409,-2.599648,0.051405,0.311445,0.979810,0.441041,0.000000,19.907544,-0.541050,-0.903928,19.696570,0.452910,0.000000,-0.761512,-0.583060
236.822259,19.722335,-250.001306,0.198983,-1.236118,0.342485,-0.725642,19.891122,19.688444,0.658008,-2.600107,0.051783,0.309983,0.979816,0.441572,0.000000,19.907520,-0.540821,-0.900241,19.696588,0.452376,0.000000,-0.760989,-0.582857
236.822259,19.722436,-250.001313,0.199224,-1.236415,0.341757,-0.726993,19.891142,19.688285,0.657791,-2.600123,0.051773,0.309599,0.979818,0.441803,0.000000,19.907572,-0.540614,-0.903442,19.696591,0.452062,0.000000,-0.760536,-0.583665
236.822259,19.722600,-250.001310,0.198979,-1.236742,0.342059,-0.723727,19.891168,19.688302,0.658087,-2.600074,0.051782,0.310039,0.979819,0.442338,0.000000,19.907592,-0.540316,-0.899937,19.696629,0.451838,0.000000,-0.759569,-0.583317
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
