Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 29, 2018
12:44:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
55.576299,75.446021,159.317128,161.512776,62.547580,56.919237,59.186474,12.765366,156.380549,1.471219,75.661089,56.158099,160.177346,158.512030,157.564483,157.174223,68.164743,156.726034,0.001928,0.014416,32.000000,-237.241907,157.399400,0.445026,15.060421,0.681967,280712.938348,0.916044,29.734864,39.925213,2.867287,69.597491,96.181191,54.669513
55.602963,75.432148,159.355948,161.504124,62.549112,56.943603,59.164640,12.765466,156.443744,1.616394,75.638885,56.183944,160.165248,158.578852,157.551767,157.241902,68.174493,156.795319,0.001942,0.014416,32.000000,-237.241843,157.441838,0.501258,15.061714,0.681782,280806.495976,0.915963,29.693940,39.944501,2.866593,69.597387,96.170629,54.672419
55.620604,75.422489,159.407150,161.498946,62.524665,56.959927,59.209126,12.765566,156.489582,1.634501,75.624130,56.200110,160.157436,158.625622,157.544116,157.288281,68.181659,156.840542,0.001934,0.014430,32.000000,-237.241735,157.488830,0.504037,15.063716,0.681911,280899.481681,0.916255,29.654335,39.964025,2.866638,69.597016,96.163992,54.674210
55.644378,75.407773,159.460782,161.491863,62.585710,56.984382,59.184497,12.765898,156.560293,1.634473,75.601547,56.223696,160.145820,158.697571,157.533185,157.358216,68.193073,156.909630,0.001918,0.014445,32.000000,-237.241474,157.561423,0.503980,15.070898,0.681918,280991.849545,0.916469,29.615085,39.984397,2.865961,69.597097,96.154169,54.676499
55.669676,75.392346,159.543363,161.486133,62.659849,57.008782,59.171676,12.766293,156.632129,1.634508,75.578038,56.245548,160.135123,158.767797,157.523451,157.429158,68.204973,156.982884,0.001918,0.014452,32.000000,-237.241006,157.632246,0.503951,15.077777,0.681979,281052.992010,0.915701,29.588643,39.996886,2.865973,69.597569,96.144858,54.679039
55.689690,75.376026,159.602302,161.481887,62.612125,57.033153,59.192968,12.767592,156.713200,1.334533,75.553034,56.264734,160.124998,158.843738,157.513620,157.503893,68.216877,157.059578,0.001933,0.014428,32.000000,-237.239796,157.744948,0.400778,15.078446,0.681820,281144.258573,0.916011,29.551315,40.015491,2.865712,69.597321,96.135687,54.680977
55.700570,75.364549,159.620293,161.480449,62.586293,57.049346,59.201206,12.768150,156.763960,1.107829,75.536317,56.275923,160.119666,158.893790,157.507894,157.554838,68.225001,157.107284,0.001933,0.014430,32.000000,-237.239259,157.807573,0.330909,15.081134,0.681771,281233.457528,0.916108,29.511836,40.035410,2.865894,69.597500,96.130167,54.682415
55.716112,75.346321,159.688369,161.480952,62.509576,57.073711,59.184213,12.767965,156.837723,1.085376,75.511221,56.291208,160.113392,158.967965,157.499555,157.627745,68.238064,157.180945,0.001917,0.014431,32.000000,-237.239425,157.882142,0.327454,15.083716,0.681973,281323.664996,0.915770,29.476493,40.056807,2.865922,69.597271,96.122199,54.685469
55.736874,75.327828,159.776346,161.483241,62.501624,57.094038,59.214000,12.768960,156.907991,1.275211,75.485976,56.310539,160.108583,159.041909,157.492038,157.702301,68.250994,157.257327,0.001915,0.014418,32.000000,-237.238403,157.931225,0.393412,15.089869,0.681958,281383.326621,0.915679,29.454677,40.069392,2.865685,69.596337,96.114945,54.689314
55.754880,75.309787,159.826668,161.486827,62.582476,57.110305,59.201495,12.768412,156.977541,1.678422,75.460411,56.329413,160.105544,159.117502,157.485190,157.776393,68.263828,157.332055,0.001930,0.014448,32.000000,-237.238989,157.967459,0.526316,15.099892,0.682167,281472.004602,0.916009,29.421683,40.088294,2.866108,69.595009,96.109591,54.693516
55.768543,75.297947,159.876180,161.489392,62.704274,57.126721,59.179087,12.768699,157.029602,1.763223,75.443125,56.341040,160.103864,159.168890,157.480970,157.827737,68.271942,157.382612,0.001941,0.014440,32.000000,-237.238623,158.020360,0.548783,15.103909,0.682177,281539.122324,0.915456,29.383469,40.108498,2.866618,69.593716,96.106915,54.696284
55.785146,75.279889,159.960677,161.493440,62.789834,57.151079,59.225547,12.768990,157.108219,1.767667,75.417001,56.356078,160.102852,159.246862,157.475228,157.906339,68.284901,157.462173,0.001927,0.014433,32.000000,-237.238266,158.098394,0.548770,15.109086,0.681850,281587.284312,0.915543,29.348328,40.128069,2.866595,69.592021,96.104327,54.700360
55.798600,75.260416,160.018140,161.498535,62.923245,57.175402,59.217484,12.768479,157.185378,1.767668,75.389161,56.368930,160.102442,159.326371,157.470836,157.985164,68.297931,157.537864,0.001924,0.014440,32.000000,-237.238696,158.176448,0.548916,15.109506,0.681866,281647.366140,0.915879,29.323515,40.141872,2.866781,69.589999,96.102985,54.704278
55.808769,75.239995,160.084721,161.505112,63.013640,57.187593,59.164316,12.768303,157.264298,1.767661,75.360367,56.380041,160.103541,159.406938,157.467936,158.066214,68.310983,157.618483,0.001925,0.014452,32.000000,-237.238875,158.256733,0.548815,15.119694,0.682007,281735.748956,0.915208,29.289699,40.163394,2.867442,69.587162,96.102001,54.707898
55.814372,75.225781,160.127036,161.510516,63.002805,57.191750,59.208449,12.768039,157.317340,1.767677,75.340315,56.386006,160.104661,159.461778,157.465882,158.120674,68.319659,157.670791,0.001941,0.014475,32.000000,-237.239119,158.309604,0.548850,15.125068,0.682298,281823.311823,0.915434,29.257456,40.183154,2.867781,69.585836,96.101165,54.710192
55.818645,75.203850,160.238804,161.520311,62.900307,57.195813,59.202445,12.769067,157.403405,1.510115,75.310686,56.391103,160.107677,159.543301,157.463947,158.201921,68.332918,157.750994,0.001932,0.014473,32.000000,-237.238135,158.416177,0.463798,15.131760,0.682078,281851.646040,0.916221,29.227387,40.205015,2.868451,69.584464,96.100373,54.714002
55.821577,75.181060,160.372633,161.532209,62.920046,57.195834,59.188350,12.768957,157.483448,1.490521,75.279934,56.394729,160.112398,159.622450,157.462538,158.283527,68.345703,157.830368,0.001919,0.014489,32.000000,-237.238222,158.493752,0.460637,15.140433,0.681962,281850.831773,0.915470,29.207858,40.218983,2.868921,69.583059,96.099382,54.717194
