Torad 40 Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, November 28,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:49:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
53.252453,67.0855,53.232877,68.008287,-0.11863,-0.428067,0,12.529267,53.067692,-0.651714,66.662625,53.335752,66.855084,52.013624,67.219396,52.750926,45.701644,53.253298,0.001636,0.011834,32,-237.472752,54.051276,-0.028466,0.01854,0.001455,NaN,#NAME?,23.533354,-2.155993,0.999613,67.650957,55.104929,52.30286
53.249245,67.0869,53.230709,68.008725,-0.118502,-0.428117,0,12.529946,53.06467,-0.656835,66.66415,53.331989,66.856563,52.009159,67.221491,52.748149,45.69943,53.249141,0.001656,0.011832,32,-237.472041,54.049621,-0.028493,0.018538,0.00145,NaN,#NAME?,23.536412,-2.157144,0.999625,67.657074,55.09735,52.304099
53.244831,67.088292,53.226235,68.009151,-0.118593,-0.427907,0,12.530323,53.060914,-0.656867,66.665844,53.328916,66.85881,52.004064,67.223392,52.744141,45.697001,53.244234,0.001659,0.011815,32,-237.471747,54.047528,-0.028446,0.018543,0.001399,NaN,#NAME?,23.541965,-2.157278,0.999632,67.662815,55.090108,52.306957
53.243215,67.089178,53.225247,68.009457,-0.118656,-0.427994,0,12.530833,53.059079,-0.656847,66.667078,53.327618,66.860716,52.001544,67.224769,52.740469,45.695162,53.241499,0.001639,0.011812,32,-237.471174,54.045853,-0.028471,0.018541,0.001307,NaN,#NAME?,23.546518,-2.159151,0.999652,67.666119,55.085636,52.308539
53.238226,67.090531,53.221039,68.009964,-0.118722,-0.428004,0,12.530496,53.05554,-0.679515,66.668503,53.321352,66.863308,51.996824,67.22592,52.735457,45.691195,53.238042,0.001638,0.011802,32,-237.471383,54.044572,-0.028623,0.018559,0.001308,NaN,#NAME?,23.552252,-2.161548,0.999651,67.670237,55.078807,52.309469
53.234095,67.091931,53.216827,68.010449,-0.118698,-0.427852,0,12.530311,53.052275,-0.642331,66.670212,53.317328,66.865399,51.99355,67.228066,52.73121,45.686935,53.234795,0.001643,0.011824,32,-237.471488,54.038383,-0.028588,0.018607,0.001297,NaN,#NAME?,23.554727,-2.1624,0.999663,67.674673,55.072365,52.309913
53.229967,67.093255,53.213113,68.010895,-0.118617,-0.427808,0,12.530301,53.048404,-0.642317,66.671435,53.315016,66.867205,51.98803,67.229792,52.725685,45.682397,53.228311,0.001662,0.011827,32,-237.471551,54.033529,-0.0286,0.018616,0.00124,NaN,#NAME?,23.560988,-2.161833,0.999677,67.677964,55.066398,52.309537
53.226334,67.094124,53.210469,68.011231,-0.118517,-0.427829,0,12.529686,53.045079,-0.685416,66.67308,53.312857,66.868429,51.985871,67.231091,52.722517,45.679961,53.225763,0.001643,0.011805,32,-237.472194,54.033266,-0.028593,0.018622,0.001213,NaN,#NAME?,23.566452,-2.160767,0.999676,67.680686,55.063057,52.309348
53.222681,67.095458,53.206106,68.011699,-0.11853,-0.427771,0,12.529868,53.04105,-0.685418,66.674875,53.310701,66.870593,51.982294,67.232964,52.720072,45.676158,53.221244,0.001638,0.011811,32,-237.471989,54.031411,-0.028544,0.018634,0.001197,NaN,#NAME?,23.571836,-2.162607,0.999683,67.685327,55.057455,52.309673
53.218113,67.096771,53.201546,68.012217,-0.11853,-0.427695,0,12.529633,53.038271,-0.632991,66.67579,53.305529,66.871797,51.980032,67.233652,52.716494,45.671472,53.215387,0.001641,0.01179,32,-237.472257,54.021815,-0.028556,0.018652,0.001154,NaN,#NAME?,23.576279,-2.162679,0.999702,67.688506,55.051854,52.309234
